L,packet_duration_ms,frames_per_packet,indices_per_packet,packed_bytes_per_packet,protocol_stack,header_bytes,pkt_bytes,packets_per_sec,ideal_bitrate_bps,total_bps,overhead_bps,overhead_ratio_vs_ideal,overhead_pct_vs_ideal
1,20,1,1,2,RTP-only,12,14,50.0,500,5600.0,5100.0,10.2,1019.9999999999999
1,20,1,1,2,UDP+RTP,20,22,50.0,500,8800.0,8300.0,16.6,1660.0000000000002
1,20,1,1,2,UDP+IPv4+RTP,40,42,50.0,500,16800.0,16300.0,32.6,3260.0
1,20,1,1,2,UDP+IPv6+RTP,60,62,50.0,500,24800.0,24300.0,48.6,4860.0
1,40,2,2,3,RTP-only,12,15,25.0,500,3000.0,2500.0,5.0,500.0
1,40,2,2,3,UDP+RTP,20,23,25.0,500,4600.0,4100.0,8.2,819.9999999999999
1,40,2,2,3,UDP+IPv4+RTP,40,43,25.0,500,8600.0,8100.0,16.2,1620.0
1,40,2,2,3,UDP+IPv6+RTP,60,63,25.0,500,12600.0,12100.0,24.2,2420.0
1,60,3,3,4,RTP-only,12,16,16.666666666666668,500,2133.3333333333335,1633.3333333333335,3.266666666666667,326.6666666666667
1,60,3,3,4,UDP+RTP,20,24,16.666666666666668,500,3200.0,2700.0,5.4,540.0
1,60,3,3,4,UDP+IPv4+RTP,40,44,16.666666666666668,500,5866.666666666667,5366.666666666667,10.733333333333334,1073.3333333333335
1,60,3,3,4,UDP+IPv6+RTP,60,64,16.666666666666668,500,8533.333333333334,8033.333333333334,16.066666666666666,1606.6666666666667
1,80,4,4,5,RTP-only,12,17,12.5,500,1700.0,1200.0,2.4,240.0
1,80,4,4,5,UDP+RTP,20,25,12.5,500,2500.0,2000.0,4.0,400.0
1,80,4,4,5,UDP+IPv4+RTP,40,45,12.5,500,4500.0,4000.0,8.0,800.0
1,80,4,4,5,UDP+IPv6+RTP,60,65,12.5,500,6500.0,6000.0,12.0,1200.0
1,100,5,5,7,RTP-only,12,19,10.0,500,1520.0,1020.0,2.04,204.0
1,100,5,5,7,UDP+RTP,20,27,10.0,500,2160.0,1660.0,3.32,332.0
1,100,5,5,7,UDP+IPv4+RTP,40,47,10.0,500,3760.0,3260.0,6.52,652.0
1,100,5,5,7,UDP+IPv6+RTP,60,67,10.0,500,5360.0,4860.0,9.72,972.0000000000001
2,20,1,2,3,RTP-only,12,15,50.0,1000,6000.0,5000.0,5.0,500.0
2,20,1,2,3,UDP+RTP,20,23,50.0,1000,9200.0,8200.0,8.2,819.9999999999999
2,20,1,2,3,UDP+IPv4+RTP,40,43,50.0,1000,17200.0,16200.0,16.2,1620.0
2,20,1,2,3,UDP+IPv6+RTP,60,63,50.0,1000,25200.0,24200.0,24.2,2420.0
2,40,2,4,5,RTP-only,12,17,25.0,1000,3400.0,2400.0,2.4,240.0
2,40,2,4,5,UDP+RTP,20,25,25.0,1000,5000.0,4000.0,4.0,400.0
2,40,2,4,5,UDP+IPv4+RTP,40,45,25.0,1000,9000.0,8000.0,8.0,800.0
2,40,2,4,5,UDP+IPv6+RTP,60,65,25.0,1000,13000.0,12000.0,12.0,1200.0
2,60,3,6,8,RTP-only,12,20,16.666666666666668,1000,2666.666666666667,1666.666666666667,1.666666666666667,166.66666666666669
2,60,3,6,8,UDP+RTP,20,28,16.666666666666668,1000,3733.3333333333335,2733.3333333333335,2.7333333333333334,273.3333333333333
2,60,3,6,8,UDP+IPv4+RTP,40,48,16.666666666666668,1000,6400.0,5400.0,5.4,540.0
2,60,3,6,8,UDP+IPv6+RTP,60,68,16.666666666666668,1000,9066.666666666668,8066.666666666668,8.066666666666668,806.6666666666669
2,80,4,8,10,RTP-only,12,22,12.5,1000,2200.0,1200.0,1.2,120.0
2,80,4,8,10,UDP+RTP,20,30,12.5,1000,3000.0,2000.0,2.0,200.0
2,80,4,8,10,UDP+IPv4+RTP,40,50,12.5,1000,5000.0,4000.0,4.0,400.0
2,80,4,8,10,UDP+IPv6+RTP,60,70,12.5,1000,7000.0,6000.0,6.0,600.0
2,100,5,10,13,RTP-only,12,25,10.0,1000,2000.0,1000.0,1.0,100.0
2,100,5,10,13,UDP+RTP,20,33,10.0,1000,2640.0,1640.0,1.64,164.0
2,100,5,10,13,UDP+IPv4+RTP,40,53,10.0,1000,4240.0,3240.0,3.24,324.0
2,100,5,10,13,UDP+IPv6+RTP,60,73,10.0,1000,5840.0,4840.0,4.84,484.0
3,20,1,3,4,RTP-only,12,16,50.0,1500,6400.0,4900.0,3.2666666666666666,326.6666666666667
3,20,1,3,4,UDP+RTP,20,24,50.0,1500,9600.0,8100.0,5.4,540.0
3,20,1,3,4,UDP+IPv4+RTP,40,44,50.0,1500,17600.0,16100.0,10.733333333333333,1073.3333333333333
3,20,1,3,4,UDP+IPv6+RTP,60,64,50.0,1500,25600.0,24100.0,16.066666666666666,1606.6666666666667
3,40,2,6,8,RTP-only,12,20,25.0,1500,4000.0,2500.0,1.6666666666666667,166.66666666666669
3,40,2,6,8,UDP+RTP,20,28,25.0,1500,5600.0,4100.0,2.7333333333333334,273.3333333333333
3,40,2,6,8,UDP+IPv4+RTP,40,48,25.0,1500,9600.0,8100.0,5.4,540.0
3,40,2,6,8,UDP+IPv6+RTP,60,68,25.0,1500,13600.0,12100.0,8.066666666666666,806.6666666666666
3,60,3,9,12,RTP-only,12,24,16.666666666666668,1500,3200.0,1700.0,1.1333333333333333,113.33333333333333
3,60,3,9,12,UDP+RTP,20,32,16.666666666666668,1500,4266.666666666667,2766.666666666667,1.8444444444444446,184.44444444444446
3,60,3,9,12,UDP+IPv4+RTP,40,52,16.666666666666668,1500,6933.333333333334,5433.333333333334,3.6222222222222227,362.2222222222223
3,60,3,9,12,UDP+IPv6+RTP,60,72,16.666666666666668,1500,9600.0,8100.0,5.4,540.0
3,80,4,12,15,RTP-only,12,27,12.5,1500,2700.0,1200.0,0.8,80.0
3,80,4,12,15,UDP+RTP,20,35,12.5,1500,3500.0,2000.0,1.3333333333333333,133.33333333333331
3,80,4,12,15,UDP+IPv4+RTP,40,55,12.5,1500,5500.0,4000.0,2.6666666666666665,266.66666666666663
3,80,4,12,15,UDP+IPv6+RTP,60,75,12.5,1500,7500.0,6000.0,4.0,400.0
3,100,5,15,19,RTP-only,12,31,10.0,1500,2480.0,980.0,0.6533333333333333,65.33333333333333
3,100,5,15,19,UDP+RTP,20,39,10.0,1500,3120.0,1620.0,1.08,108.0
3,100,5,15,19,UDP+IPv4+RTP,40,59,10.0,1500,4720.0,3220.0,2.1466666666666665,214.66666666666666
3,100,5,15,19,UDP+IPv6+RTP,60,79,10.0,1500,6320.0,4820.0,3.2133333333333334,321.3333333333333
