order,trial,sample_id,wav,pair,note,A_method,B_method
1,71,121-121726-0011,121-121726-0011.wav,P3_lcaL3_vs_opus6k,SCIT 1.5k vs Opus 6k (1/4 bw),scit_lca_L3,opus_6k
2,91,121-127105-0029,121-127105-0029.wav,P3_lcaL3_vs_opus6k,SCIT 1.5k vs Opus 6k (1/4 bw),opus_6k,scit_lca_L3
3,54,121-121726-0003,121-121726-0003.wav,P2_lcaL3_vs_encodec,both 1.5 kbps,encodec_1.5k,scit_lca_L3
4,142,1284-1181-0014,1284-1181-0014.wav,P2_lcaL3_vs_encodec,both 1.5 kbps,encodec_1.5k,scit_lca_L3
5,41,1089-134691-0022,1089-134691-0022.wav,P1_lcaL3_vs_dac,both 1.5 kbps,dac_1.5k,scit_lca_L3
6,8,1089-134686-0004,1089-134686-0004.wav,P4_lcaL1_vs_lcaL3,own rate ladder 500 vs 1500 bps,scit_lca_L1,scit_lca_L3
7,9,1089-134686-0015,1089-134686-0015.wav,P1_lcaL3_vs_dac,both 1.5 kbps,scit_lca_L3,dac_1.5k
8,127,1284-1181-0004,1284-1181-0004.wav,P3_lcaL3_vs_opus6k,SCIT 1.5k vs Opus 6k (1/4 bw),scit_lca_L3,opus_6k
9,131,1284-1181-0005,1284-1181-0005.wav,P3_lcaL3_vs_opus6k,SCIT 1.5k vs Opus 6k (1/4 bw),opus_6k,scit_lca_L3
10,87,121-127105-0012,121-127105-0012.wav,P3_lcaL3_vs_opus6k,SCIT 1.5k vs Opus 6k (1/4 bw),opus_6k,scit_lca_L3
11,72,121-121726-0011,121-121726-0011.wav,P4_lcaL1_vs_lcaL3,own rate ladder 500 vs 1500 bps,scit_lca_L3,scit_lca_L1
12,75,121-127105-0002,121-127105-0002.wav,P3_lcaL3_vs_opus6k,SCIT 1.5k vs Opus 6k (1/4 bw),scit_lca_L3,opus_6k
13,151,1320-122612-0014,1320-122612-0014.wav,P3_lcaL3_vs_opus6k,SCIT 1.5k vs Opus 6k (1/4 bw),scit_lca_L3,opus_6k
14,130,1284-1181-0005,1284-1181-0005.wav,P2_lcaL3_vs_encodec,both 1.5 kbps,scit_lca_L3,encodec_1.5k
15,134,1284-1181-0007,1284-1181-0007.wav,P2_lcaL3_vs_encodec,both 1.5 kbps,scit_lca_L3,encodec_1.5k
16,73,121-127105-0002,121-127105-0002.wav,P1_lcaL3_vs_dac,both 1.5 kbps,scit_lca_L3,dac_1.5k
17,26,1089-134691-0001,1089-134691-0001.wav,P2_lcaL3_vs_encodec,both 1.5 kbps,encodec_1.5k,scit_lca_L3
18,2,1089-134686-0002,1089-134686-0002.wav,P2_lcaL3_vs_encodec,both 1.5 kbps,encodec_1.5k,scit_lca_L3
19,15,1089-134686-0021,1089-134686-0021.wav,P3_lcaL3_vs_opus6k,SCIT 1.5k vs Opus 6k (1/4 bw),scit_lca_L3,opus_6k
20,70,121-121726-0011,121-121726-0011.wav,P2_lcaL3_vs_encodec,both 1.5 kbps,encodec_1.5k,scit_lca_L3
21,4,1089-134686-0002,1089-134686-0002.wav,P4_lcaL1_vs_lcaL3,own rate ladder 500 vs 1500 bps,scit_lca_L1,scit_lca_L3
22,62,121-121726-0005,121-121726-0005.wav,P2_lcaL3_vs_encodec,both 1.5 kbps,scit_lca_L3,encodec_1.5k
23,52,1188-133604-0029,1188-133604-0029.wav,P4_lcaL1_vs_lcaL3,own rate ladder 500 vs 1500 bps,scit_lca_L1,scit_lca_L3
24,98,1221-135767-0024,1221-135767-0024.wav,P2_lcaL3_vs_encodec,both 1.5 kbps,scit_lca_L3,encodec_1.5k
25,21,1089-134686-0035,1089-134686-0035.wav,P1_lcaL3_vs_dac,both 1.5 kbps,dac_1.5k,scit_lca_L3
26,37,1089-134691-0020,1089-134691-0020.wav,P1_lcaL3_vs_dac,both 1.5 kbps,dac_1.5k,scit_lca_L3
27,80,121-127105-0003,121-127105-0003.wav,P4_lcaL1_vs_lcaL3,own rate ladder 500 vs 1500 bps,scit_lca_L3,scit_lca_L1
28,11,1089-134686-0015,1089-134686-0015.wav,P3_lcaL3_vs_opus6k,SCIT 1.5k vs Opus 6k (1/4 bw),scit_lca_L3,opus_6k
29,113,1284-1180-0020,1284-1180-0020.wav,P1_lcaL3_vs_dac,both 1.5 kbps,scit_lca_L3,dac_1.5k
30,78,121-127105-0003,121-127105-0003.wav,P2_lcaL3_vs_encodec,both 1.5 kbps,scit_lca_L3,encodec_1.5k
31,115,1284-1180-0020,1284-1180-0020.wav,P3_lcaL3_vs_opus6k,SCIT 1.5k vs Opus 6k (1/4 bw),scit_lca_L3,opus_6k
32,129,1284-1181-0005,1284-1181-0005.wav,P1_lcaL3_vs_dac,both 1.5 kbps,scit_lca_L3,dac_1.5k
33,3,1089-134686-0002,1089-134686-0002.wav,P3_lcaL3_vs_opus6k,SCIT 1.5k vs Opus 6k (1/4 bw),scit_lca_L3,opus_6k
34,22,1089-134686-0035,1089-134686-0035.wav,P2_lcaL3_vs_encodec,both 1.5 kbps,scit_lca_L3,encodec_1.5k
35,97,1221-135767-0024,1221-135767-0024.wav,P1_lcaL3_vs_dac,both 1.5 kbps,dac_1.5k,scit_lca_L3
36,143,1284-1181-0014,1284-1181-0014.wav,P3_lcaL3_vs_opus6k,SCIT 1.5k vs Opus 6k (1/4 bw),scit_lca_L3,opus_6k
