model,sample_id,L,cer_vs_gt,cer_vs_original_whisper,gt_len,hyp_len
base,BAC009S0764W0472,1,1.0,1.0,19,19
base,BAC009S0764W0472,2,0.9473684210526315,0.95,19,19
base,BAC009S0764W0472,3,0.5263157894736842,0.6,19,19
lca,BAC009S0764W0472,1,0.9473684210526315,0.95,19,19
lca,BAC009S0764W0472,2,0.7368421052631579,0.75,19,19
lca,BAC009S0764W0472,3,0.5789473684210527,0.7,19,19
base,BAC009S0765W0221,1,1.7692307692307692,1.7692307692307692,13,23
base,BAC009S0765W0221,2,0.8461538461538461,0.8461538461538461,13,15
base,BAC009S0765W0221,3,0.6153846153846154,0.6153846153846154,13,13
lca,BAC009S0765W0221,1,1.2307692307692308,1.2307692307692308,13,16
lca,BAC009S0765W0221,2,1.0,1.0,13,3
lca,BAC009S0765W0221,3,0.07692307692307693,0.07692307692307693,13,13
base,BAC009S0766W0412,1,1.0,1.0,11,9
base,BAC009S0766W0412,2,0.8181818181818182,0.7272727272727273,11,11
base,BAC009S0766W0412,3,0.6363636363636364,0.18181818181818182,11,11
lca,BAC009S0766W0412,1,1.0,1.0,11,1
lca,BAC009S0766W0412,2,0.45454545454545453,0.45454545454545453,11,11
lca,BAC009S0766W0412,3,0.6363636363636364,0.2727272727272727,11,11
base,BAC009S0767W0461,1,1.0,1.0,20,21
base,BAC009S0767W0461,2,0.6,0.3,20,19
base,BAC009S0767W0461,3,0.55,0.15,20,20
lca,BAC009S0767W0461,1,1.55,1.55,20,31
lca,BAC009S0767W0461,2,0.55,0.3,20,22
lca,BAC009S0767W0461,3,0.65,0.4,20,22
base,BAC009S0768W0264,1,1.4666666666666666,1.3529411764705883,15,23
base,BAC009S0768W0264,2,0.3333333333333333,0.17647058823529413,15,17
base,BAC009S0768W0264,3,0.3333333333333333,0.11764705882352941,15,17
lca,BAC009S0768W0264,1,1.3333333333333333,1.1764705882352942,15,20
lca,BAC009S0768W0264,2,0.4,0.23529411764705882,15,18
lca,BAC009S0768W0264,3,0.5333333333333333,0.29411764705882354,15,17
base,BAC009S0769W0122,1,1.0,1.0,14,2
base,BAC009S0769W0122,2,2.9285714285714284,2.9285714285714284,14,41
base,BAC009S0769W0122,3,0.21428571428571427,0.21428571428571427,14,14
lca,BAC009S0769W0122,1,1.0,1.0,14,4
lca,BAC009S0769W0122,2,0.07142857142857142,0.07142857142857142,14,14
lca,BAC009S0769W0122,3,0.07142857142857142,0.07142857142857142,14,14
base,BAC009S0770W0122,1,1.2,1.2,10,12
base,BAC009S0770W0122,2,0.7,0.7,10,10
base,BAC009S0770W0122,3,0.1,0.1,10,10
lca,BAC009S0770W0122,1,1.0,1.0,10,2
lca,BAC009S0770W0122,2,0.5,0.5,10,10
lca,BAC009S0770W0122,3,0.5,0.5,10,10
base,BAC009S0901W0435,1,0.6111111111111112,0.5555555555555556,18,19
base,BAC009S0901W0435,2,0.4444444444444444,0.6666666666666666,18,21
base,BAC009S0901W0435,3,0.16666666666666666,0.4444444444444444,18,18
lca,BAC009S0901W0435,1,0.4444444444444444,0.2777777777777778,18,18
lca,BAC009S0901W0435,2,0.16666666666666666,0.4444444444444444,18,18
lca,BAC009S0901W0435,3,0.1111111111111111,0.3333333333333333,18,18
base,BAC009S0902W0426,1,1.5555555555555556,1.5555555555555556,9,14
base,BAC009S0902W0426,2,0.4444444444444444,0.0,9,9
base,BAC009S0902W0426,3,0.4444444444444444,0.0,9,9
lca,BAC009S0902W0426,1,1.0,1.0,9,3
lca,BAC009S0902W0426,2,0.2222222222222222,0.4444444444444444,9,9
lca,BAC009S0902W0426,3,0.4444444444444444,0.0,9,9
base,BAC009S0903W0256,1,1.1176470588235294,1.1176470588235294,17,19
base,BAC009S0903W0256,2,0.5294117647058824,0.5294117647058824,17,19
base,BAC009S0903W0256,3,0.47058823529411764,0.47058823529411764,17,20
lca,BAC009S0903W0256,1,1.411764705882353,1.411764705882353,17,24
lca,BAC009S0903W0256,2,0.47058823529411764,0.47058823529411764,17,17
lca,BAC009S0903W0256,3,0.5294117647058824,0.5294117647058824,17,18
base,BAC009S0904W0409,1,1.6666666666666667,1.6666666666666667,12,20
base,BAC009S0904W0409,2,1.0,1.0,12,7
base,BAC009S0904W0409,3,1.0,1.0,12,11
lca,BAC009S0904W0409,1,1.0,1.0,12,11
lca,BAC009S0904W0409,2,1.0,1.0,12,11
lca,BAC009S0904W0409,3,0.9166666666666666,0.9166666666666666,12,11
base,BAC009S0905W0304,1,1.3636363636363635,1.3636363636363635,11,16
base,BAC009S0905W0304,2,0.45454545454545453,0.45454545454545453,11,10
base,BAC009S0905W0304,3,1.0,1.0,11,12
