L,correct_score_mean,eer,eer_threshold,kind,margin_mean,max_impostor_score_mean,model,n,run_dir,score_mean,seed,summary_path,tar_at_far,tar_threshold,top1_accuracy,verified_rate
1,0.22096702690151604,0.7836363636363637,0.29835331439971924,identity,-0.12201453839513389,0.3429815652966499,base,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed41,0.3468232584541494,41,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed41\metrics\speaker_identity_summary.csv,0.0018181818181818182,0.48694318532943726,0.10727272727272727,0.9581818181818181
2,0.35932045640593224,0.5672727272727273,0.37710487842559814,identity,-0.02958564626222307,0.38890610266815534,base,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed41,0.4185534103350206,41,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed41\metrics\speaker_identity_summary.csv,0.06363636363636363,0.5249238014221191,0.3781818181818182,0.9945454545454545
3,0.4103439674052325,0.4527272727272727,0.40520530939102173,identity,0.010296570441939615,0.4000473969632929,base,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed41,0.44904417379335926,41,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed41\metrics\speaker_identity_summary.csv,0.08727272727272728,0.549588680267334,0.5509090909090909,1.0
1,0.2131265966052359,0.8363636363636363,0.3150678873062134,identity,-0.158007467050444,0.37113406365567986,lca,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed41,0.3732437845251777,41,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed41\metrics\speaker_identity_summary.csv,0.0018181818181818182,0.5035461187362671,0.06181818181818182,0.9945454545454545
2,0.31328765587373214,0.7109090909090909,0.3756808638572693,identity,-0.09902647655118596,0.4123141324249181,lca,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed41,0.4232753904570233,41,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed41\metrics\speaker_identity_summary.csv,0.02181818181818182,0.560479998588562,0.18727272727272729,0.9981818181818182
3,0.3591313957219774,0.6436363636363637,0.3965458273887634,identity,-0.06279326860200275,0.4219246643239802,lca,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed41,0.4433012357083234,41,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed41\metrics\speaker_identity_summary.csv,0.02909090909090909,0.5685060024261475,0.32181818181818184,0.9981818181818182
0,0.7118855676867745,0.034545454545454546,0.527174711227417,identity,0.3116074379465797,0.40027812974019483,original,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed41,0.7119769372723319,41,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed41\metrics\speaker_identity_summary.csv,0.94,0.5659270286560059,0.9945454545454545,1.0
1,0.22377190088175913,0.7745454545454545,0.30225974321365356,identity,-0.11698151518506082,0.34075341606681997,base,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed42,0.3444690123200417,42,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed42\metrics\speaker_identity_summary.csv,0.0,0.4799635708332062,0.09090909090909091,0.9763636363636363
2,0.36146631257777867,0.54,0.3811069428920746,identity,-0.02400246213105592,0.38546877470883456,base,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed42,0.4147237625989047,42,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed42\metrics\speaker_identity_summary.csv,0.03636363636363636,0.5455800294876099,0.4072727272727273,0.9963636363636363
3,0.41383910115469585,0.4527272727272727,0.4049012064933777,identity,0.014251220077276229,0.3995878810774196,base,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed42,0.448671133464033,42,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed42\metrics\speaker_identity_summary.csv,0.0890909090909091,0.5543436408042908,0.5509090909090909,1.0
1,0.21467610606754367,0.7836363636363637,0.2999081015586853,identity,-0.12763462312180887,0.34231072918935257,lca,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed42,0.3461169078133323,42,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed42\metrics\speaker_identity_summary.csv,0.005454545454545455,0.46640121936798096,0.0890909090909091,0.9818181818181818
2,0.3170169036429037,0.6418181818181818,0.35905152559280396,identity,-0.06720838628709316,0.3842252899299968,lca,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed42,0.40072477346116847,42,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed42\metrics\speaker_identity_summary.csv,0.01090909090909091,0.5372424125671387,0.2545454545454545,1.0
3,0.3606695313209837,0.5690909090909091,0.38160383701324463,identity,-0.033295531069690534,0.39396506239067425,lca,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed42,0.4223561372540214,42,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed42\metrics\speaker_identity_summary.csv,0.02181818181818182,0.5596288442611694,0.36363636363636365,1.0
0,0.7084493074091998,0.038181818181818185,0.5326119065284729,identity,0.30539694856513633,0.4030523588440635,original,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed42,0.7086748278682882,42,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed42\metrics\speaker_identity_summary.csv,0.9290909090909091,0.5768852233886719,0.9927272727272727,1.0
1,0.22682401930574667,0.7436363636363637,0.2927142381668091,identity,-0.1075846918892454,0.33440871119499205,base,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed43,0.33996064719828695,43,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed43\metrics\speaker_identity_summary.csv,0.01090909090909091,0.4577592611312866,0.12545454545454546,0.9581818181818181
2,0.36310708314180373,0.5254545454545455,0.368887335062027,identity,-0.012463429732756182,0.37557051287455995,base,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed43,0.4095505778085102,43,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed43\metrics\speaker_identity_summary.csv,0.038181818181818185,0.5314366817474365,0.4490909090909091,0.9963636363636363
3,0.41782819800756194,0.42,0.39973950386047363,identity,0.028565974655476483,0.38926222335208543,base,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed43,0.44525770485401156,43,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed43\metrics\speaker_identity_summary.csv,0.12,0.5364426374435425,0.6236363636363637,1.0
1,0.2108518150448799,0.8090909090909091,0.30011773109436035,identity,-0.13511000928553668,0.3459618243304166,lca,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed43,0.3486104858463461,43,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed43\metrics\speaker_identity_summary.csv,0.0036363636363636364,0.45970025658607483,0.07454545454545454,0.9854545454545455
2,0.31882006046108224,0.6454545454545455,0.36362120509147644,identity,-0.07399821013550867,0.3928182705965909,lca,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed43,0.4072115930102088,43,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed43\metrics\speaker_identity_summary.csv,0.01090909090909091,0.5414985418319702,0.2581818181818182,1.0
3,0.36379683506251737,0.5836363636363636,0.3871496319770813,identity,-0.04326284060932019,0.40705967567183754,lca,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed43,0.4323360006375746,43,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed43\metrics\speaker_identity_summary.csv,0.04727272727272727,0.5541486740112305,0.3490909090909091,1.0
0,0.7126120342449709,0.02909090909090909,0.5432837605476379,identity,0.3106810500946912,0.40193098415027967,original,550,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed43,0.7126120342449709,43,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_identity_ecapa_vctk110_20260708_seed43\metrics\speaker_identity_summary.csv,0.9454545454545454,0.5786567330360413,1.0,1.0
