model,feature_kind,L,feature_dim,speaker_count,test_count,n_seeds,seeds,run_count,top1_accuracy_mean,top1_accuracy_std,top1_accuracy_ci95,top5_accuracy_mean,top5_accuracy_std,top5_accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95
base,codes_hist,1,1024,110,550,3,41 42 43,3,0.344242,0.008398,0.020863,0.673333,0.016796,0.041726,0.324813,0.004802,0.011931
base,codes_hist,2,2048,110,550,3,41 42 43,3,0.489091,0.027514,0.068354,0.809091,0.013727,0.034102,0.469562,0.031029,0.077086
base,codes_hist,3,3072,110,550,3,41 42 43,3,0.509697,0.007348,0.018255,0.820606,0.009151,0.022735,0.492644,0.003247,0.008067
base,latent_stats,1,2048,110,550,3,41 42 43,3,0.371515,0.018924,0.047014,0.688485,0.023022,0.057195,0.355614,0.018867,0.046872
base,latent_stats,2,4096,110,550,3,41 42 43,3,0.557576,0.008398,0.020863,0.825455,0.006556,0.016286,0.542379,0.006271,0.015580
base,latent_stats,3,6144,110,550,3,41 42 43,3,0.580606,0.019441,0.048299,0.827273,0.026783,0.066539,0.567947,0.021821,0.054212
lca,codes_hist,1,1024,110,550,3,41 42 43,3,0.325455,0.011355,0.028209,0.646061,0.004199,0.010432,0.304149,0.015540,0.038606
lca,codes_hist,2,2048,110,550,3,41 42 43,3,0.450909,0.014431,0.035852,0.783030,0.009330,0.023179,0.430020,0.018701,0.046461
lca,codes_hist,3,3072,110,550,3,41 42 43,3,0.510303,0.034128,0.084786,0.807273,0.017344,0.043089,0.486980,0.033048,0.082103
lca,latent_stats,1,2048,110,550,3,41 42 43,3,0.340606,0.009330,0.023179,0.645455,0.011355,0.028209,0.324640,0.009570,0.023774
lca,latent_stats,2,4096,110,550,3,41 42 43,3,0.526667,0.023379,0.058080,0.803030,0.013887,0.034499,0.512976,0.025124,0.062417
lca,latent_stats,3,6144,110,550,3,41 42 43,3,0.546667,0.040993,0.101841,0.798788,0.027773,0.068998,0.534842,0.044030,0.109385
