L,feature_dim,feature_kind,kind,macro_f1,model,run_dir,seed,speaker_count,summary_path,test_count,top1_accuracy,top5_accuracy
1,1024,codes_hist,probe,0.3277198006046866,base,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41,41,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41\metrics\speaker_probe_summary.csv,550,0.3490909090909091,0.6927272727272727
2,2048,codes_hist,probe,0.5052037085721295,base,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41,41,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41\metrics\speaker_probe_summary.csv,550,0.52,0.8218181818181818
3,3072,codes_hist,probe,0.4944908285416306,base,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41,41,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41\metrics\speaker_probe_summary.csv,550,0.5163636363636364,0.8290909090909091
1,2048,latent_stats,probe,0.35059627241445424,base,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41,41,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41\metrics\speaker_probe_summary.csv,550,0.3654545454545455,0.7090909090909091
2,4096,latent_stats,probe,0.5380202996646847,base,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41,41,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41\metrics\speaker_probe_summary.csv,550,0.5527272727272727,0.8327272727272728
3,6144,latent_stats,probe,0.546598806250509,base,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41,41,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41\metrics\speaker_probe_summary.csv,550,0.5636363636363636,0.7963636363636364
1,1024,codes_hist,probe,0.29501482102973803,lca,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41,41,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41\metrics\speaker_probe_summary.csv,550,0.31636363636363635,0.6509090909090909
2,2048,codes_hist,probe,0.45140207237800817,lca,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41,41,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41\metrics\speaker_probe_summary.csv,550,0.4672727272727273,0.7909090909090909
3,3072,codes_hist,probe,0.5132137165193431,lca,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41,41,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41\metrics\speaker_probe_summary.csv,550,0.5309090909090909,0.8236363636363636
1,2048,latent_stats,probe,0.3146801497279966,lca,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41,41,110,H:\H-CODE\speechtokenizer\output\experiments\exp22_speaker_probe_vctk110_20260708_seed41\metrics\speaker_probe_summary.csv,550,0.3327272727272727,0.6581818181818182
