model,L,sample_id,speaker_id,audio_path,predicted_speaker,top1_correct,verified,score,correct_score,max_impostor_score,margin,duration_sec
original,0,p228_064_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_064_mic1.flac,p228,1,1,0.7347285747528076,0.7347285747528076,0.5387760400772095,0.19595253467559814,2.6820625
base,1,p228_064_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_064_mic1.flac,p300,0,1,0.2797303795814514,0.16963230073451996,0.2797303795814514,-0.11009807884693146,2.6820625
base,2,p228_064_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_064_mic1.flac,p306,0,1,0.34921425580978394,0.3319239020347595,0.34921425580978394,-0.017290353775024414,2.6820625
base,3,p228_064_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_064_mic1.flac,p228,1,1,0.5179343223571777,0.5179343223571777,0.41929367184638977,0.09864065051078796,2.6820625
lca,1,p228_064_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_064_mic1.flac,p300,0,1,0.3474879264831543,0.2618943452835083,0.3474879264831543,-0.085593581199646,2.6820625
lca,2,p228_064_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_064_mic1.flac,p228,1,1,0.45114099979400635,0.45114099979400635,0.4081805348396301,0.04296046495437622,2.6820625
lca,3,p228_064_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_064_mic1.flac,p228,1,1,0.5454743504524231,0.5454743504524231,0.43980130553245544,0.10567304491996765,2.6820625
original,0,p228_071_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_071_mic1.flac,p228,1,1,0.7280759215354919,0.7280759215354919,0.48233509063720703,0.2457408308982849,2.2705
base,1,p228_071_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_071_mic1.flac,p300,0,1,0.32104185223579407,0.13542968034744263,0.32104185223579407,-0.18561217188835144,2.2705
base,2,p228_071_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_071_mic1.flac,p244,0,1,0.3634239435195923,0.2771158218383789,0.3634239435195923,-0.08630812168121338,2.2705
base,3,p228_071_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_071_mic1.flac,p262,0,1,0.39647334814071655,0.3602612316608429,0.39647334814071655,-0.03621211647987366,2.2705
lca,1,p228_071_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_071_mic1.flac,p313,0,0,0.23651117086410522,0.16064777970314026,0.23651117086410522,-0.07586339116096497,2.2705
lca,2,p228_071_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_071_mic1.flac,p313,0,1,0.36480170488357544,0.31548815965652466,0.36480170488357544,-0.04931354522705078,2.2705
lca,3,p228_071_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_071_mic1.flac,p228,1,1,0.3947311043739319,0.3947311043739319,0.37988990545272827,0.014841198921203613,2.2705
original,0,p228_090_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_090_mic1.flac,p228,1,1,0.8396172523498535,0.8396172523498535,0.41758787631988525,0.42202937602996826,4.2225625
base,1,p228_090_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_090_mic1.flac,p244,0,1,0.2661946415901184,0.22733306884765625,0.2661946415901184,-0.03886157274246216,4.2225625
base,2,p228_090_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_090_mic1.flac,p228,1,1,0.4435105323791504,0.4435105323791504,0.4178735911846161,0.025636941194534302,4.2225625
base,3,p228_090_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_090_mic1.flac,p228,1,1,0.5171811580657959,0.5171811580657959,0.4549972116947174,0.06218394637107849,4.2225625
lca,1,p228_090_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_090_mic1.flac,p228,1,1,0.3199228048324585,0.3199228048324585,0.3164820671081543,0.0034407377243041992,4.2225625
lca,2,p228_090_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_090_mic1.flac,p228,1,1,0.4334317445755005,0.4334317445755005,0.42791861295700073,0.005513131618499756,4.2225625
lca,3,p228_090_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_090_mic1.flac,p228,1,1,0.48692411184310913,0.48692411184310913,0.43523621559143066,0.05168789625167847,4.2225625
original,0,p228_134_mic2,p228,data\VCTK\wav48_silence_trimmed\p228\p228_134_mic2.flac,p228,1,1,0.7859432697296143,0.7859432697296143,0.43724656105041504,0.3486967086791992,4.180375
base,1,p228_134_mic2,p228,data\VCTK\wav48_silence_trimmed\p228\p228_134_mic2.flac,p244,0,1,0.3745235800743103,0.3527906537055969,0.3745235800743103,-0.02173292636871338,4.180375
base,2,p228_134_mic2,p228,data\VCTK\wav48_silence_trimmed\p228\p228_134_mic2.flac,p228,1,1,0.47153913974761963,0.47153913974761963,0.3847186863422394,0.08682045340538025,4.180375
base,3,p228_134_mic2,p228,data\VCTK\wav48_silence_trimmed\p228\p228_134_mic2.flac,p228,1,1,0.461553156375885,0.461553156375885,0.41092559695243835,0.050627559423446655,4.180375
lca,1,p228_134_mic2,p228,data\VCTK\wav48_silence_trimmed\p228\p228_134_mic2.flac,p308,0,1,0.352516233921051,0.23776373267173767,0.352516233921051,-0.11475250124931335,4.180375
lca,2,p228_134_mic2,p228,data\VCTK\wav48_silence_trimmed\p228\p228_134_mic2.flac,p308,0,1,0.3631385862827301,0.3534034490585327,0.3631385862827301,-0.009735137224197388,4.180375
lca,3,p228_134_mic2,p228,data\VCTK\wav48_silence_trimmed\p228\p228_134_mic2.flac,p262,0,1,0.401065856218338,0.3581080436706543,0.401065856218338,-0.042957812547683716,4.180375
original,0,p228_307_mic2,p228,data\VCTK\wav48_silence_trimmed\p228\p228_307_mic2.flac,p228,1,1,0.7636124491691589,0.7636124491691589,0.40183836221694946,0.3617740869522095,3.482625
base,1,p228_307_mic2,p228,data\VCTK\wav48_silence_trimmed\p228\p228_307_mic2.flac,p244,0,1,0.3063744306564331,0.288266122341156,0.3063744306564331,-0.0181083083152771,3.482625
base,2,p228_307_mic2,p228,data\VCTK\wav48_silence_trimmed\p228\p228_307_mic2.flac,p228,1,1,0.3845627009868622,0.3845627009868622,0.36237308382987976,0.022189617156982422,3.482625
base,3,p228_307_mic2,p228,data\VCTK\wav48_silence_trimmed\p228\p228_307_mic2.flac,p228,1,1,0.46937811374664307,0.46937811374664307,0.38561558723449707,0.083762526512146,3.482625
lca,1,p228_307_mic2,p228,data\VCTK\wav48_silence_trimmed\p228\p228_307_mic2.flac,p300,0,1,0.2984095513820648,0.25551077723503113,0.2984095513820648,-0.04289877414703369,3.482625
lca,2,p228_307_mic2,p228,data\VCTK\wav48_silence_trimmed\p228\p228_307_mic2.flac,p262,0,1,0.3825361728668213,0.37783724069595337,0.3825361728668213,-0.00469893217086792,3.482625
lca,3,p228_307_mic2,p228,data\VCTK\wav48_silence_trimmed\p228\p228_307_mic2.flac,p228,1,1,0.4200074076652527,0.4200074076652527,0.40609127283096313,0.01391613483428955,3.482625
original,0,p229_067_mic2,p229,data\VCTK\wav48_silence_trimmed\p229\p229_067_mic2.flac,p229,1,1,0.7040375471115112,0.7040375471115112,0.2582084536552429,0.4458290934562683,2.7386875
base,1,p229_067_mic2,p229,data\VCTK\wav48_silence_trimmed\p229\p229_067_mic2.flac,p239,0,1,0.2569425702095032,0.11572180688381195,0.2569425702095032,-0.14122076332569122,2.7386875
base,2,p229_067_mic2,p229,data\VCTK\wav48_silence_trimmed\p229\p229_067_mic2.flac,p239,0,1,0.3018285632133484,0.25876063108444214,0.3018285632133484,-0.04306793212890625,2.7386875
base,3,p229_067_mic2,p229,data\VCTK\wav48_silence_trimmed\p229\p229_067_mic2.flac,p229,1,1,0.3319690525531769,0.3319690525531769,0.31300872564315796,0.01896032691001892,2.7386875
lca,1,p229_067_mic2,p229,data\VCTK\wav48_silence_trimmed\p229\p229_067_mic2.flac,p262,0,1,0.39430755376815796,0.12110187858343124,0.39430755376815796,-0.2732056751847267,2.7386875
lca,2,p229_067_mic2,p229,data\VCTK\wav48_silence_trimmed\p229\p229_067_mic2.flac,p262,0,1,0.349380224943161,0.17094732820987701,0.349380224943161,-0.178432896733284,2.7386875
lca,3,p229_067_mic2,p229,data\VCTK\wav48_silence_trimmed\p229\p229_067_mic2.flac,p262,0,1,0.3640240430831909,0.2789701223373413,0.3640240430831909,-0.08505392074584961,2.7386875
original,0,p229_068_mic1,p229,data\VCTK\wav48_silence_trimmed\p229\p229_068_mic1.flac,p229,1,1,0.5882628560066223,0.5882628560066223,0.2173401266336441,0.3709227293729782,2.4905625
base,1,p229_068_mic1,p229,data\VCTK\wav48_silence_trimmed\p229\p229_068_mic1.flac,p294,0,1,0.3046424388885498,0.12055443227291107,0.3046424388885498,-0.18408800661563873,2.4905625
base,2,p229_068_mic1,p229,data\VCTK\wav48_silence_trimmed\p229\p229_068_mic1.flac,p239,0,1,0.3662811815738678,0.2563428282737732,0.3662811815738678,-0.1099383533000946,2.4905625
base,3,p229_068_mic1,p229,data\VCTK\wav48_silence_trimmed\p229\p229_068_mic1.flac,p229,1,1,0.4397473931312561,0.4397473931312561,0.35712021589279175,0.08262717723846436,2.4905625
lca,1,p229_068_mic1,p229,data\VCTK\wav48_silence_trimmed\p229\p229_068_mic1.flac,p262,0,1,0.31238555908203125,0.06521410495042801,0.31238555908203125,-0.24717145413160324,2.4905625
lca,2,p229_068_mic1,p229,data\VCTK\wav48_silence_trimmed\p229\p229_068_mic1.flac,p313,0,1,0.31708353757858276,0.21303358674049377,0.31708353757858276,-0.10404995083808899,2.4905625
lca,3,p229_068_mic1,p229,data\VCTK\wav48_silence_trimmed\p229\p229_068_mic1.flac,p229,1,1,0.3116835951805115,0.3116835951805115,0.2686629295349121,0.043020665645599365,2.4905625
original,0,p229_112_mic1,p229,data\VCTK\wav48_silence_trimmed\p229\p229_112_mic1.flac,p229,1,1,0.814247727394104,0.814247727394104,0.3114486336708069,0.5027990937232971,3.8823125
base,1,p229_112_mic1,p229,data\VCTK\wav48_silence_trimmed\p229\p229_112_mic1.flac,p262,0,1,0.32206279039382935,0.1195727065205574,0.32206279039382935,-0.20249008387327194,3.8823125
base,2,p229_112_mic1,p229,data\VCTK\wav48_silence_trimmed\p229\p229_112_mic1.flac,p262,0,1,0.32119232416152954,0.30211180448532104,0.32119232416152954,-0.019080519676208496,3.8823125
base,3,p229_112_mic1,p229,data\VCTK\wav48_silence_trimmed\p229\p229_112_mic1.flac,p229,1,1,0.4055578112602234,0.4055578112602234,0.37713176012039185,0.028426051139831543,3.8823125
lca,1,p229_112_mic1,p229,data\VCTK\wav48_silence_trimmed\p229\p229_112_mic1.flac,p262,0,1,0.2935166656970978,0.04786134511232376,0.2935166656970978,-0.24565532058477402,3.8823125
lca,2,p229_112_mic1,p229,data\VCTK\wav48_silence_trimmed\p229\p229_112_mic1.flac,p308,0,1,0.4179021716117859,0.13968786597251892,0.4179021716117859,-0.27821430563926697,3.8823125
lca,3,p229_112_mic1,p229,data\VCTK\wav48_silence_trimmed\p229\p229_112_mic1.flac,p308,0,1,0.4233552813529968,0.20229990780353546,0.4233552813529968,-0.22105537354946136,3.8823125
original,0,p229_288_mic2,p229,data\VCTK\wav48_silence_trimmed\p229\p229_288_mic2.flac,p229,1,1,0.72397780418396,0.72397780418396,0.29521888494491577,0.4287589192390442,2.3074375
base,1,p229_288_mic2,p229,data\VCTK\wav48_silence_trimmed\p229\p229_288_mic2.flac,p229,1,1,0.3070395886898041,0.3070395886898041,0.2983638644218445,0.008675724267959595,2.3074375
base,2,p229_288_mic2,p229,data\VCTK\wav48_silence_trimmed\p229\p229_288_mic2.flac,p229,1,1,0.4546739459037781,0.4546739459037781,0.28167271614074707,0.173001229763031,2.3074375
base,3,p229_288_mic2,p229,data\VCTK\wav48_silence_trimmed\p229\p229_288_mic2.flac,p229,1,1,0.4845474362373352,0.4845474362373352,0.2837829887866974,0.20076444745063782,2.3074375
lca,1,p229_288_mic2,p229,data\VCTK\wav48_silence_trimmed\p229\p229_288_mic2.flac,p244,0,1,0.35064035654067993,0.09806863218545914,0.35064035654067993,-0.2525717243552208,2.3074375
lca,2,p229_288_mic2,p229,data\VCTK\wav48_silence_trimmed\p229\p229_288_mic2.flac,p244,0,1,0.292815625667572,0.2790099084377289,0.292815625667572,-0.01380571722984314,2.3074375
