model,L,sample_id,speaker_id,audio_path,predicted_speaker,top1_correct,verified,score,correct_score,max_impostor_score,margin,duration_sec
original,0,p228_064_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_064_mic1.flac,p228,1,1,0.9979817867279053,0.9979817867279053,0.9969375729560852,0.0010442137718200684,2.6820625
base,1,p228_064_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_064_mic1.flac,p239,0,1,0.9916582107543945,0.9805206060409546,0.9916582107543945,-0.011137604713439941,2.6820625
base,2,p228_064_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_064_mic1.flac,p229,0,1,0.9973623752593994,0.9959219098091125,0.9973623752593994,-0.0014404654502868652,2.6820625
base,3,p228_064_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_064_mic1.flac,p262,0,1,0.9976698756217957,0.9963893890380859,0.9976698756217957,-0.0012804865837097168,2.6820625
lca,1,p228_064_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_064_mic1.flac,p239,0,1,0.9906796216964722,0.9824208617210388,0.9906796216964722,-0.00825875997543335,2.6820625
lca,2,p228_064_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_064_mic1.flac,p229,0,1,0.9964330196380615,0.994911253452301,0.9964330196380615,-0.001521766185760498,2.6820625
lca,3,p228_064_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_064_mic1.flac,p228,1,1,0.9968372583389282,0.9968372583389282,0.9967080354690552,0.00012922286987304688,2.6820625
original,0,p228_071_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_071_mic1.flac,p313,0,1,0.9972506165504456,0.9941965937614441,0.9972506165504456,-0.003054022789001465,2.2705
base,1,p228_071_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_071_mic1.flac,p254,0,1,0.9945220947265625,0.9865203499794006,0.9945220947265625,-0.008001744747161865,2.2705
base,2,p228_071_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_071_mic1.flac,p256,0,1,0.9967049360275269,0.9957635402679443,0.9967049360275269,-0.0009413957595825195,2.2705
base,3,p228_071_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_071_mic1.flac,p256,0,1,0.9969683885574341,0.9955666065216064,0.9969683885574341,-0.0014017820358276367,2.2705
lca,1,p228_071_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_071_mic1.flac,p254,0,1,0.992697536945343,0.9803891777992249,0.992697536945343,-0.012308359146118164,2.2705
lca,2,p228_071_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_071_mic1.flac,p256,0,1,0.997283935546875,0.9944882392883301,0.997283935546875,-0.002795696258544922,2.2705
lca,3,p228_071_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_071_mic1.flac,p256,0,1,0.9967133402824402,0.9957432746887207,0.9967133402824402,-0.0009700655937194824,2.2705
original,0,p228_090_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_090_mic1.flac,p228,1,1,0.9980484247207642,0.9980484247207642,0.9968961477279663,0.0011522769927978516,4.2225625
base,1,p228_090_mic1,p228,data\VCTK\wav48_silence_trimmed\p228\p228_090_mic1.flac,p302,0,1,0.9915485382080078,0.984268307685852,0.9915485382080078,-0.007280230522155762,4.2225625
