model,feature_kind,L,feature_dim,speaker_count,test_count,top1_accuracy,top5_accuracy,macro_f1
base,codes_hist,1,1024,20,100,0.61,0.95,0.5893362193362193
base,codes_hist,2,2048,20,100,0.69,0.98,0.6742775280275279
base,codes_hist,3,3072,20,100,0.73,0.96,0.7130808080808081
base,latent_stats,1,2048,20,100,0.59,0.92,0.585551948051948
base,latent_stats,2,4096,20,100,0.76,0.96,0.7547474747474747
base,latent_stats,3,6144,20,100,0.79,0.97,0.7854401154401154
lca,codes_hist,1,1024,20,100,0.49,0.89,0.4505500055500056
lca,codes_hist,2,2048,20,100,0.7,0.96,0.6897097347097347
lca,codes_hist,3,3072,20,100,0.71,0.97,0.6931188256188257
lca,latent_stats,1,2048,20,100,0.54,0.85,0.5367279942279943
lca,latent_stats,2,4096,20,100,0.78,0.94,0.7722513597513598
lca,latent_stats,3,6144,20,100,0.81,0.96,0.8093506493506493
