sample_id,L,ideal_bitrate_bps,recon_l1,codes_shape,output_shape,duration_sec,note
8838-298545-0037,1,500,0.04487902671098709,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
8838-298545-0037,2,1000,0.03556337580084801,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
8838-298545-0037,3,1500,0.03319847956299782,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
5390-30102-0015,1,500,0.02344563975930214,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
5390-30102-0015,2,1000,0.020310578867793083,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
5390-30102-0015,3,1500,0.018071552738547325,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4018-103416-0033,1,500,0.029643582180142403,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4018-103416-0033,2,1000,0.023039329797029495,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4018-103416-0033,3,1500,0.019609566777944565,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1737-148989-0006,1,500,0.02422410249710083,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1737-148989-0006,2,1000,0.022558754310011864,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1737-148989-0006,3,1500,0.021184731274843216,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1455-138263-0040,1,500,0.009182846173644066,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1455-138263-0040,2,1000,0.009210723452270031,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1455-138263-0040,3,1500,0.008570447564125061,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
311-124404-0119,1,500,0.028167052194476128,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
311-124404-0119,2,1000,0.021900499239563942,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
311-124404-0119,3,1500,0.019675929099321365,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4680-16026-0019,1,500,0.038420822471380234,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4680-16026-0019,2,1000,0.03077220730483532,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4680-16026-0019,3,1500,0.028411395847797394,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
8098-278278-0035,1,500,0.0337182842195034,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
8098-278278-0035,2,1000,0.022145120427012444,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
8098-278278-0035,3,1500,0.020504403859376907,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
