sample_id,L,ideal_bitrate_bps,recon_l1,codes_shape,output_shape,duration_sec,note
8838-298545-0037,1,500,0.0545753575861454,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
8838-298545-0037,2,1000,0.04080238565802574,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
8838-298545-0037,3,1500,0.037841565907001495,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
5390-30102-0015,1,500,0.02804020792245865,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
5390-30102-0015,2,1000,0.022536149248480797,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
5390-30102-0015,3,1500,0.019900768995285034,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4018-103416-0033,1,500,0.034115541726350784,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4018-103416-0033,2,1000,0.024348458275198936,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4018-103416-0033,3,1500,0.02383827045559883,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1737-148989-0006,1,500,0.025456653907895088,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1737-148989-0006,2,1000,0.024081891402602196,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1737-148989-0006,3,1500,0.023714996874332428,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1455-138263-0040,1,500,0.009763107635080814,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1455-138263-0040,2,1000,0.009509477764368057,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1455-138263-0040,3,1500,0.009427730925381184,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
311-124404-0119,1,500,0.029663724824786186,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
311-124404-0119,2,1000,0.02639743685722351,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
311-124404-0119,3,1500,0.026424307376146317,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4680-16026-0019,1,500,0.050729960203170776,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4680-16026-0019,2,1000,0.04155723750591278,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4680-16026-0019,3,1500,0.03805709257721901,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
8098-278278-0035,1,500,0.032227400690317154,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
8098-278278-0035,2,1000,0.025750333443284035,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
8098-278278-0035,3,1500,0.02528880536556244,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
