event_file,tag,step,wall_time,value
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,0,1779895449.4705951,13.067869186401367
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,100,1779895491.9818776,6.165933609008789
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,200,1779895533.9208097,5.6911516189575195
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,300,1779895575.9584916,5.117499828338623
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,400,1779895617.911304,5.4522199630737305
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,500,1779895659.8924158,4.806793212890625
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,600,1779895701.9254332,5.490151882171631
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,700,1779895743.9248755,5.447712421417236
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,800,1779895785.7096715,5.185039043426514
output\experiments\exp2_scit_speech_training_20260527_232327_seed42\checkpoints\logs\events.out.tfevents.1779895427.GJS-20250722ZGP.25688.0,train/discriminators loss,900,1779895827.6458883,4.687195777893066
