sample_id,L,ideal_bitrate_bps,recon_l1,codes_shape,output_shape,duration_sec
8838-298545-0037,1,500,0.05139978229999542,"[1, 1, 50]","[1, 1, 16000]",1.0
8838-298545-0037,2,1000,0.04004647955298424,"[2, 1, 50]","[1, 1, 16000]",1.0
8838-298545-0037,3,1500,0.03666018694639206,"[3, 1, 50]","[1, 1, 16000]",1.0
5390-30102-0015,1,500,0.027238471433520317,"[1, 1, 50]","[1, 1, 16000]",1.0
5390-30102-0015,2,1000,0.021355435252189636,"[2, 1, 50]","[1, 1, 16000]",1.0
5390-30102-0015,3,1500,0.02004893496632576,"[3, 1, 50]","[1, 1, 16000]",1.0
4018-103416-0033,1,500,0.0346420593559742,"[1, 1, 50]","[1, 1, 16000]",1.0
4018-103416-0033,2,1000,0.023394059389829636,"[2, 1, 50]","[1, 1, 16000]",1.0
4018-103416-0033,3,1500,0.021546639502048492,"[3, 1, 50]","[1, 1, 16000]",1.0
1737-148989-0006,1,500,0.0249872375279665,"[1, 1, 50]","[1, 1, 16000]",1.0
1737-148989-0006,2,1000,0.02393447421491146,"[2, 1, 50]","[1, 1, 16000]",1.0
1737-148989-0006,3,1500,0.023856064304709435,"[3, 1, 50]","[1, 1, 16000]",1.0
1455-138263-0040,1,500,0.010211859829723835,"[1, 1, 50]","[1, 1, 16000]",1.0
1455-138263-0040,2,1000,0.009548676200211048,"[2, 1, 50]","[1, 1, 16000]",1.0
1455-138263-0040,3,1500,0.009437703527510166,"[3, 1, 50]","[1, 1, 16000]",1.0
311-124404-0119,1,500,0.0288450438529253,"[1, 1, 50]","[1, 1, 16000]",1.0
311-124404-0119,2,1000,0.024981485679745674,"[2, 1, 50]","[1, 1, 16000]",1.0
311-124404-0119,3,1500,0.02513580024242401,"[3, 1, 50]","[1, 1, 16000]",1.0
4680-16026-0019,1,500,0.05071035027503967,"[1, 1, 50]","[1, 1, 16000]",1.0
4680-16026-0019,2,1000,0.036988407373428345,"[2, 1, 50]","[1, 1, 16000]",1.0
4680-16026-0019,3,1500,0.03566033020615578,"[3, 1, 50]","[1, 1, 16000]",1.0
8098-278278-0035,1,500,0.030552221462130547,"[1, 1, 50]","[1, 1, 16000]",1.0
8098-278278-0035,2,1000,0.026038462296128273,"[2, 1, 50]","[1, 1, 16000]",1.0
8098-278278-0035,3,1500,0.02227286994457245,"[3, 1, 50]","[1, 1, 16000]",1.0
