sample_id,L,ideal_bitrate_bps,recon_l1,codes_shape,output_shape,duration_sec
8838-298545-0037,1,500,0.05377739295363426,"[1, 1, 50]","[1, 1, 16000]",1.0
8838-298545-0037,2,1000,0.04184887185692787,"[2, 1, 50]","[1, 1, 16000]",1.0
8838-298545-0037,3,1500,0.03584904968738556,"[3, 1, 50]","[1, 1, 16000]",1.0
5390-30102-0015,1,500,0.027238840237259865,"[1, 1, 50]","[1, 1, 16000]",1.0
5390-30102-0015,2,1000,0.02240198291838169,"[2, 1, 50]","[1, 1, 16000]",1.0
5390-30102-0015,3,1500,0.01961366832256317,"[3, 1, 50]","[1, 1, 16000]",1.0
4018-103416-0033,1,500,0.03422271087765694,"[1, 1, 50]","[1, 1, 16000]",1.0
4018-103416-0033,2,1000,0.023008521646261215,"[2, 1, 50]","[1, 1, 16000]",1.0
4018-103416-0033,3,1500,0.022548936307430267,"[3, 1, 50]","[1, 1, 16000]",1.0
1737-148989-0006,1,500,0.02560366503894329,"[1, 1, 50]","[1, 1, 16000]",1.0
1737-148989-0006,2,1000,0.02330613136291504,"[2, 1, 50]","[1, 1, 16000]",1.0
1737-148989-0006,3,1500,0.022565292194485664,"[3, 1, 50]","[1, 1, 16000]",1.0
1455-138263-0040,1,500,0.00961150974035263,"[1, 1, 50]","[1, 1, 16000]",1.0
1455-138263-0040,2,1000,0.009314978495240211,"[2, 1, 50]","[1, 1, 16000]",1.0
1455-138263-0040,3,1500,0.009342861361801624,"[3, 1, 50]","[1, 1, 16000]",1.0
311-124404-0119,1,500,0.028117710724473,"[1, 1, 50]","[1, 1, 16000]",1.0
311-124404-0119,2,1000,0.025246120989322662,"[2, 1, 50]","[1, 1, 16000]",1.0
311-124404-0119,3,1500,0.023618951439857483,"[3, 1, 50]","[1, 1, 16000]",1.0
4680-16026-0019,1,500,0.05076098442077637,"[1, 1, 50]","[1, 1, 16000]",1.0
4680-16026-0019,2,1000,0.03794821351766586,"[2, 1, 50]","[1, 1, 16000]",1.0
4680-16026-0019,3,1500,0.03379431366920471,"[3, 1, 50]","[1, 1, 16000]",1.0
8098-278278-0035,1,500,0.030068473890423775,"[1, 1, 50]","[1, 1, 16000]",1.0
8098-278278-0035,2,1000,0.027195138856768608,"[2, 1, 50]","[1, 1, 16000]",1.0
8098-278278-0035,3,1500,0.024811089038848877,"[3, 1, 50]","[1, 1, 16000]",1.0
