version,metric,n_pairs,n_samples,n_cells,mean_rob_imp,ci_lo,ci_hi,positive_cells
v1,corr,96,8,12,-0.0003236574120819625,-0.0013824819221796884,0.0007351670980157634,5
v2,corr,96,8,12,0.0009487756372739859,-0.0031477806696034233,0.005045331944151395,7
v1,mel_l1,96,8,12,-0.00028129604955513923,-0.001207647225343134,0.0006450551262328556,3
v2,mel_l1,96,8,12,0.005528685326377559,0.003562576046970856,0.007494794605784262,12
v1,pesq_wb,96,8,12,-0.0018890773256619146,-0.009876562797111348,0.006098408145787518,7
v2,pesq_wb,96,8,12,0.014562220623095874,0.0066061305234106586,0.02251831072278109,10
v1,si_snr_db,96,8,12,-0.01763375889297321,-0.048553034685390635,0.013285516899444218,4
v2,si_snr_db,96,8,12,0.050550613191407155,-0.06504404966539179,0.1661452760482061,7
v1,stoi,96,8,12,-7.256414608740787e-05,-0.0006157914590101727,0.00047066316683535696,6
v2,stoi,96,8,12,0.0022999022946010848,0.0011520867146329666,0.003447717874569203,9
v1,wave_l1,96,8,12,-9.13035667807982e-07,-3.394699854692699e-05,3.2120927211311024e-05,6
v2,wave_l1,96,8,12,6.637194504340923e-05,-1.1259748929801566e-05,0.00014400363901662002,7
