version,metric,direction,sample_id,L,channel,base_degradation,lca_degradation,rob_imp
v1,mel_l1,lower,8838-298545-0037,1,dropout-low,0.0046416521072387695,0.005673766136169434,-0.001032114028930664
v1,mel_l1,lower,8838-298545-0037,1,dropout-mid,0.013756752014159934,0.018132925033569336,-0.004376173019409402
v1,mel_l1,lower,8838-298545-0037,1,substitution-low,0.003905057907104492,0.010794997215270996,-0.006889939308166504
v1,mel_l1,lower,8838-298545-0037,1,substitution-mid,0.015091180801391602,0.015309572219848633,-0.00021839141845703125
v1,mel_l1,lower,8838-298545-0037,2,dropout-low,0.01411139965057373,0.013201355934143066,0.0009100437164306641
v1,mel_l1,lower,8838-298545-0037,2,dropout-mid,0.02735602855682373,0.03465068340301514,-0.007294654846191406
v1,mel_l1,lower,8838-298545-0037,2,substitution-low,0.0,0.0,0.0
v1,mel_l1,lower,8838-298545-0037,2,substitution-mid,0.0016019344329833984,0.0016434192657470703,-4.1484832763671875e-05
v1,mel_l1,lower,8838-298545-0037,3,dropout-low,0.01003175973892223,0.009635746479034535,0.0003960132598876953
v1,mel_l1,lower,8838-298545-0037,3,dropout-mid,0.018067359924316406,0.01224285364151001,0.0058245062828063965
v1,mel_l1,lower,8838-298545-0037,3,substitution-low,0.0036351680755614124,0.003541588783264382,9.357929229703021e-05
v1,mel_l1,lower,8838-298545-0037,3,substitution-mid,0.006119847297668457,0.0039403438568116345,0.0021795034408568226
v1,mel_l1,lower,5390-30102-0015,1,dropout-low,0.003968596458435059,0.0007114410400392845,0.003257155418395774
v1,mel_l1,lower,5390-30102-0015,1,dropout-mid,0.019098639488220215,0.01922595500946067,-0.00012731552124045642
v1,mel_l1,lower,5390-30102-0015,1,substitution-low,-0.00037741661071777344,-0.0013530254364011451,0.0009756088256833717
v1,mel_l1,lower,5390-30102-0015,1,substitution-mid,0.008157253265381081,0.007278680801391824,0.0008785724639892578
v1,mel_l1,lower,5390-30102-0015,2,dropout-low,0.010220646858215332,0.004806995391845703,0.005413651466369629
v1,mel_l1,lower,5390-30102-0015,2,dropout-mid,0.021254301071166992,0.03170919418334961,-0.010454893112182617
v1,mel_l1,lower,5390-30102-0015,2,substitution-low,0.0003726482391357422,0.0006966590881347656,-0.00032401084899902344
v1,mel_l1,lower,5390-30102-0015,2,substitution-mid,0.010622143745422363,0.012238502502441406,-0.001616358757019043
v1,mel_l1,lower,5390-30102-0015,3,dropout-low,0.006341278553008922,0.004265487194061168,0.002075791358947754
v1,mel_l1,lower,5390-30102-0015,3,dropout-mid,0.02365976572036732,0.01777440309524525,0.00588536262512207
v1,mel_l1,lower,5390-30102-0015,3,substitution-low,0.003316819667816162,0.0037772059440611683,-0.00046038627624500617
v1,mel_l1,lower,5390-30102-0015,3,substitution-mid,0.012582063674926758,0.012448728084563987,0.00013333559036277087
v1,mel_l1,lower,4018-103416-0033,1,dropout-low,0.005184054374695046,0.005213797092437744,-2.9742717742697877e-05
v1,mel_l1,lower,4018-103416-0033,1,dropout-mid,0.012436151504516824,0.0117226243019104,0.0007135272026064232
v1,mel_l1,lower,4018-103416-0033,1,substitution-low,0.004822134971618874,0.004631340503692627,0.00019079446792624744
v1,mel_l1,lower,4018-103416-0033,1,substitution-mid,0.006423830986023393,0.015367507934570424,-0.00894367694854703
v1,mel_l1,lower,4018-103416-0033,2,dropout-low,0.010516107082366943,0.01303398609161377,-0.002517879009246826
v1,mel_l1,lower,4018-103416-0033,2,dropout-mid,0.01206284761428833,0.014822423458099365,-0.002759575843811035
v1,mel_l1,lower,4018-103416-0033,2,substitution-low,-0.0001112222671508789,0.0010512471199035645,-0.0011624693870544434
v1,mel_l1,lower,4018-103416-0033,2,substitution-mid,0.020262539386749268,0.03122866153717041,-0.010966122150421143
v1,mel_l1,lower,4018-103416-0033,3,dropout-low,0.0062296390533447266,0.003168761730194092,0.0030608773231506348
v1,mel_l1,lower,4018-103416-0033,3,dropout-mid,0.02056795358657837,0.02082061767578125,-0.00025266408920288086
v1,mel_l1,lower,4018-103416-0033,3,substitution-low,0.0007102489471435547,0.0010955333709716797,-0.000385284423828125
v1,mel_l1,lower,4018-103416-0033,3,substitution-mid,0.02945166826248169,0.03074336051940918,-0.0012916922569274902
v1,mel_l1,lower,1737-148989-0006,1,dropout-low,0.012131810188293457,0.011553049087524414,0.000578761100769043
v1,mel_l1,lower,1737-148989-0006,1,dropout-mid,0.0056781768798828125,0.005600452423095703,7.772445678710938e-05
v1,mel_l1,lower,1737-148989-0006,1,substitution-low,0.0,0.0,0.0
v1,mel_l1,lower,1737-148989-0006,1,substitution-mid,0.015788793563842773,0.010883688926696777,0.004905104637145996
v1,mel_l1,lower,1737-148989-0006,2,dropout-low,0.007617652416229359,0.004796028137207031,0.002821624279022328
v1,mel_l1,lower,1737-148989-0006,2,dropout-mid,0.030315041542053223,0.02043163776397705,0.009883403778076172
v1,mel_l1,lower,1737-148989-0006,2,substitution-low,0.0,0.0,0.0
v1,mel_l1,lower,1737-148989-0006,2,substitution-mid,0.0010876655578613281,0.0019141435623170056,-0.0008264780044556774
v1,mel_l1,lower,1737-148989-0006,3,dropout-low,0.006471693515777588,0.005388975143432617,0.0010827183723449707
v1,mel_l1,lower,1737-148989-0006,3,dropout-mid,0.029110610485077015,0.023128986358642578,0.005981624126434437
v1,mel_l1,lower,1737-148989-0006,3,substitution-low,-0.00023353099822998047,0.0006917119026184082,-0.0009252429008483887
v1,mel_l1,lower,1737-148989-0006,3,substitution-mid,0.006710946559906006,0.005137622356414795,0.001573324203491211
v1,mel_l1,lower,1455-138263-0040,1,dropout-low,0.003699660301208496,0.006116390228271484,-0.0024167299270629883
v1,mel_l1,lower,1455-138263-0040,1,dropout-mid,0.018011927604675293,0.010659456253051758,0.007352471351623535
v1,mel_l1,lower,1455-138263-0040,1,substitution-low,0.0,0.0,0.0
v1,mel_l1,lower,1455-138263-0040,1,substitution-mid,0.0028324127197265625,0.00405430793762207,-0.0012218952178955078
v1,mel_l1,lower,1455-138263-0040,2,dropout-low,0.008287489414215199,0.009226500988006592,-0.0009390115737913929
v1,mel_l1,lower,1455-138263-0040,2,dropout-mid,0.03488004207611073,0.026481688022613525,0.008398354053497203
v1,mel_l1,lower,1455-138263-0040,2,substitution-low,0.0008355975151062012,0.0004242062568664551,0.0004113912582397461
v1,mel_l1,lower,1455-138263-0040,2,substitution-mid,0.007861971855163574,0.009336411952972412,-0.0014744400978088379
v1,mel_l1,lower,1455-138263-0040,3,dropout-low,0.011376619338989258,0.0077950358390808105,0.0035815834999084473
v1,mel_l1,lower,1455-138263-0040,3,dropout-mid,0.01871776580810547,0.01612699031829834,0.002590775489807129
v1,mel_l1,lower,1455-138263-0040,3,substitution-low,0.0020339488983154297,0.005091488361358643,-0.003057539463043213
v1,mel_l1,lower,1455-138263-0040,3,substitution-mid,0.01311427354812622,0.018496930599212646,-0.005382657051086426
v1,mel_l1,lower,311-124404-0119,1,dropout-low,0.003881096839904785,0.0001538991928100586,0.0037271976470947266
v1,mel_l1,lower,311-124404-0119,1,dropout-mid,0.0041768550872804955,0.004973769187927246,-0.0007969141006467506
v1,mel_l1,lower,311-124404-0119,1,substitution-low,0.01728224754333496,0.01365816593170166,0.0036240816116333008
v1,mel_l1,lower,311-124404-0119,1,substitution-mid,-0.0035709142684936523,0.0007729530334472656,-0.004343867301940918
v1,mel_l1,lower,311-124404-0119,2,dropout-low,0.00599980354309082,0.013633668422698975,-0.007633864879608154
v1,mel_l1,lower,311-124404-0119,2,dropout-mid,0.020073652267455944,0.013909101486206055,0.006164550781249889
v1,mel_l1,lower,311-124404-0119,2,substitution-low,0.0,0.0,0.0
v1,mel_l1,lower,311-124404-0119,2,substitution-mid,0.007122457027435192,0.0032840371131896973,0.0038384199142454944
v1,mel_l1,lower,311-124404-0119,3,dropout-low,0.005554497241973877,0.00671541690826416,-0.0011609196662902832
v1,mel_l1,lower,311-124404-0119,3,dropout-mid,0.022952675819396973,0.02020561695098877,0.002747058868408203
v1,mel_l1,lower,311-124404-0119,3,substitution-low,0.0,0.0,0.0
v1,mel_l1,lower,311-124404-0119,3,substitution-mid,-0.000485837459564209,0.0027083754539489746,-0.0031942129135131836
v1,mel_l1,lower,4680-16026-0019,1,dropout-low,0.0,0.0,0.0
v1,mel_l1,lower,4680-16026-0019,1,dropout-mid,0.01617586612701416,0.009539008140563965,0.006636857986450195
