metric,sample_id,L,channel,v1,v2,v2_minus_v1
corr,1455-138263-0040,1,dropout-mid,0.010721355676651001,0.001630485057830755,-0.009090870618820246
corr,1455-138263-0040,1,substitution-mid,-0.0023159980773926336,-0.002366244792938288,-5.02467155456543e-05
corr,1455-138263-0040,2,dropout-mid,-0.002497851848602295,0.00014644861221313477,0.0026443004608154297
corr,1455-138263-0040,2,substitution-mid,-0.00031369924545288086,0.0012096762657165527,0.0015233755111694336
corr,1455-138263-0040,3,dropout-mid,-0.0019686222076416016,-0.006075382232666016,-0.004106760025024414
corr,1455-138263-0040,3,substitution-mid,-0.0026016831398010254,-0.0019190311431884766,0.0006826519966125488
corr,1737-148989-0006,1,dropout-mid,-0.0008620023727417825,0.0046924948692322055,0.005554497241973988
corr,1737-148989-0006,1,substitution-mid,0.002100482583045918,-0.0001457929611205916,-0.0022462755441665094
corr,1737-148989-0006,2,dropout-mid,0.002223983407020569,0.0084199458360672,0.006195962429046631
corr,1737-148989-0006,2,substitution-mid,-0.0023516714572906217,0.005002498626708929,0.0073541700839995505
corr,1737-148989-0006,3,dropout-mid,-0.007310286164283697,0.004201531410217396,0.011511817574501093
corr,1737-148989-0006,3,substitution-mid,0.0032569766044616977,-0.000496566295623696,-0.0037535429000853937
corr,311-124404-0119,1,dropout-mid,-0.001256108283996693,0.001989379525184576,0.003245487809181269
corr,311-124404-0119,1,substitution-mid,-0.015164226293563898,0.00037850439548484105,0.01554273068904874
corr,311-124404-0119,2,dropout-mid,0.0014390349388122559,0.010417580604553223,0.008978545665740967
corr,311-124404-0119,2,substitution-mid,-0.004669308662414551,0.002253293991088867,0.006922602653503418
corr,311-124404-0119,3,dropout-mid,0.017604708671569824,0.0007620453834533691,-0.016842663288116455
corr,311-124404-0119,3,substitution-mid,0.00017946958541870117,0.0032338500022888184,0.003054380416870117
corr,4018-103416-0033,1,dropout-mid,0.009579241275787354,0.016277432441711426,0.006698191165924072
corr,4018-103416-0033,1,substitution-mid,0.0033855438232421875,-0.0015532374382019043,-0.004938781261444092
corr,4018-103416-0033,2,dropout-mid,-0.0036984682083129883,-0.004569411277770996,-0.0008709430694580078
corr,4018-103416-0033,2,substitution-mid,0.0012735724449157715,-0.003038346767425537,-0.004311919212341309
corr,4018-103416-0033,3,dropout-mid,-0.0003661513328552246,0.0034558773040771484,0.003822028636932373
corr,4018-103416-0033,3,substitution-mid,-0.0001850724220276989,0.0018712282180786133,0.002056300640106312
corr,4680-16026-0019,1,dropout-mid,-0.00023192167282104492,0.01442950963973999,0.014661431312561035
corr,4680-16026-0019,1,substitution-mid,-0.007356762886047363,-5.960464477539063e-08,0.007356703281402588
corr,4680-16026-0019,2,dropout-mid,-0.0033540725708007812,-0.0855606198310852,-0.08220654726028442
corr,4680-16026-0019,2,substitution-mid,0.019945085048675537,0.0,-0.019945085048675537
corr,4680-16026-0019,3,dropout-mid,0.0015038847923278809,0.033647775650024414,0.03214389085769653
corr,4680-16026-0019,3,substitution-mid,-0.0005106925964355469,-0.003969907760620117,-0.0034592151641845703
corr,5390-30102-0015,1,dropout-mid,-0.005874097347259577,-0.007891684770584051,-0.002017587423324474
