model,sample_id,L,ideal_bitrate_bps,channel,p_drop,p_sub,recon_l1,RTF,sample_count,output_path
base,8838-298545-0037,1,500,clean,0,0,0.16738280653953552,0.024171600001864135,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\clean\L1\8838-298545-0037.wav
base,8838-298545-0037,2,1000,clean,0,0,0.16738206148147583,0.0061480000003939494,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\clean\L2\8838-298545-0037.wav
base,8838-298545-0037,3,1500,clean,0,0,0.16738250851631165,0.004488899998250417,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\clean\L3\8838-298545-0037.wav
base,8838-298545-0037,1,500,dropout-low,0.01,0,0.16738280653953552,0.004776599998876918,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\dropout-low\L1\8838-298545-0037.wav
base,8838-298545-0037,2,1000,dropout-low,0.01,0,0.16738206148147583,0.004408699998748489,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\dropout-low\L2\8838-298545-0037.wav
base,8838-298545-0037,3,1500,dropout-low,0.01,0,0.16738250851631165,0.004680799997004215,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\dropout-low\L3\8838-298545-0037.wav
base,8838-298545-0037,1,500,substitution-low,0,0.001,0.16738280653953552,0.00466959999903338,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\substitution-low\L1\8838-298545-0037.wav
base,8838-298545-0037,2,1000,substitution-low,0,0.001,0.16738206148147583,0.004469400002562907,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\substitution-low\L2\8838-298545-0037.wav
base,8838-298545-0037,3,1500,substitution-low,0,0.001,0.16738250851631165,0.00448109999706503,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\base\substitution-low\L3\8838-298545-0037.wav
lca,8838-298545-0037,1,500,clean,0,0,0.1656198650598526,0.004271500001777895,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\clean\L1\8838-298545-0037.wav
lca,8838-298545-0037,2,1000,clean,0,0,0.16562482714653015,0.005727100004150998,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\clean\L2\8838-298545-0037.wav
lca,8838-298545-0037,3,1500,clean,0,0,0.1656225025653839,0.004409200002555735,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\clean\L3\8838-298545-0037.wav
lca,8838-298545-0037,1,500,dropout-low,0.01,0,0.1656198650598526,0.004347900001448579,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\dropout-low\L1\8838-298545-0037.wav
lca,8838-298545-0037,2,1000,dropout-low,0.01,0,0.16562482714653015,0.004397699995024595,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\dropout-low\L2\8838-298545-0037.wav
lca,8838-298545-0037,3,1500,dropout-low,0.01,0,0.1656225025653839,0.004489299994020257,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\dropout-low\L3\8838-298545-0037.wav
lca,8838-298545-0037,1,500,substitution-low,0,0.001,0.1656198650598526,0.004402700003993232,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\substitution-low\L1\8838-298545-0037.wav
lca,8838-298545-0037,2,1000,substitution-low,0,0.001,0.16562482714653015,0.00452709999808576,1,output\experiments\exp3_low_load_channel_aware_adaptation_20260526_202329_seed42\samples\lca\substitution-low\L2\8838-298545-0037.wav
