model,sample_id,L,channel,shape,codebook_size,p_drop,p_sub,seed,total_indices,replaced_by_previous,substituted,actual_p_drop,actual_p_sub
base,8838-298545-0037,1,clean,"[1, 1, 50]",1024,0.0,0.0,1235,50,0,0,0.0,0.0
base,8838-298545-0037,2,clean,"[2, 1, 50]",1024,0.0,0.0,1236,100,0,0,0.0,0.0
base,8838-298545-0037,3,clean,"[3, 1, 50]",1024,0.0,0.0,1237,150,0,0,0.0,0.0
base,8838-298545-0037,1,dropout-low,"[1, 1, 50]",1024,0.01,0.0,1235,50,0,0,0.0,0.0
base,8838-298545-0037,2,dropout-low,"[2, 1, 50]",1024,0.01,0.0,1236,100,1,0,0.01,0.0
base,8838-298545-0037,3,dropout-low,"[3, 1, 50]",1024,0.01,0.0,1237,150,3,0,0.02,0.0
base,8838-298545-0037,1,substitution-low,"[1, 1, 50]",1024,0.0,0.001,1235,50,0,0,0.0,0.0
base,8838-298545-0037,2,substitution-low,"[2, 1, 50]",1024,0.0,0.001,1236,100,0,0,0.0,0.0
base,8838-298545-0037,3,substitution-low,"[3, 1, 50]",1024,0.0,0.001,1237,150,0,0,0.0,0.0
lca,8838-298545-0037,1,clean,"[1, 1, 50]",1024,0.0,0.0,1235,50,0,0,0.0,0.0
lca,8838-298545-0037,2,clean,"[2, 1, 50]",1024,0.0,0.0,1236,100,0,0,0.0,0.0
lca,8838-298545-0037,3,clean,"[3, 1, 50]",1024,0.0,0.0,1237,150,0,0,0.0,0.0
lca,8838-298545-0037,1,dropout-low,"[1, 1, 50]",1024,0.01,0.0,1235,50,0,0,0.0,0.0
lca,8838-298545-0037,2,dropout-low,"[2, 1, 50]",1024,0.01,0.0,1236,100,1,0,0.01,0.0
lca,8838-298545-0037,3,dropout-low,"[3, 1, 50]",1024,0.01,0.0,1237,150,3,0,0.02,0.0
lca,8838-298545-0037,1,substitution-low,"[1, 1, 50]",1024,0.0,0.001,1235,50,0,0,0.0,0.0
lca,8838-298545-0037,2,substitution-low,"[2, 1, 50]",1024,0.0,0.001,1236,100,0,0,0.0,0.0
lca,8838-298545-0037,3,substitution-low,"[3, 1, 50]",1024,0.0,0.001,1237,150,0,0,0.0,0.0
base,5390-30102-0015,1,clean,"[1, 1, 50]",1024,0.0,0.0,1236,50,0,0,0.0,0.0
base,5390-30102-0015,2,clean,"[2, 1, 50]",1024,0.0,0.0,1237,100,0,0,0.0,0.0
base,5390-30102-0015,3,clean,"[3, 1, 50]",1024,0.0,0.0,1238,150,0,0,0.0,0.0
base,5390-30102-0015,1,dropout-low,"[1, 1, 50]",1024,0.01,0.0,1236,50,1,0,0.02,0.0
base,5390-30102-0015,2,dropout-low,"[2, 1, 50]",1024,0.01,0.0,1237,100,3,0,0.03,0.0
base,5390-30102-0015,3,dropout-low,"[3, 1, 50]",1024,0.01,0.0,1238,150,0,0,0.0,0.0
base,5390-30102-0015,1,substitution-low,"[1, 1, 50]",1024,0.0,0.001,1236,50,0,0,0.0,0.0
base,5390-30102-0015,2,substitution-low,"[2, 1, 50]",1024,0.0,0.001,1237,100,0,0,0.0,0.0
base,5390-30102-0015,3,substitution-low,"[3, 1, 50]",1024,0.0,0.001,1238,150,0,0,0.0,0.0
lca,5390-30102-0015,1,clean,"[1, 1, 50]",1024,0.0,0.0,1236,50,0,0,0.0,0.0
lca,5390-30102-0015,2,clean,"[2, 1, 50]",1024,0.0,0.0,1237,100,0,0,0.0,0.0
lca,5390-30102-0015,3,clean,"[3, 1, 50]",1024,0.0,0.0,1238,150,0,0,0.0,0.0
lca,5390-30102-0015,1,dropout-low,"[1, 1, 50]",1024,0.01,0.0,1236,50,1,0,0.02,0.0
lca,5390-30102-0015,2,dropout-low,"[2, 1, 50]",1024,0.01,0.0,1237,100,3,0,0.03,0.0
lca,5390-30102-0015,3,dropout-low,"[3, 1, 50]",1024,0.01,0.0,1238,150,0,0,0.0,0.0
lca,5390-30102-0015,1,substitution-low,"[1, 1, 50]",1024,0.0,0.001,1236,50,0,0,0.0,0.0
lca,5390-30102-0015,2,substitution-low,"[2, 1, 50]",1024,0.0,0.001,1237,100,0,0,0.0,0.0
lca,5390-30102-0015,3,substitution-low,"[3, 1, 50]",1024,0.0,0.001,1238,150,0,0,0.0,0.0
base,4018-103416-0033,1,clean,"[1, 1, 50]",1024,0.0,0.0,1237,50,0,0,0.0,0.0
base,4018-103416-0033,2,clean,"[2, 1, 50]",1024,0.0,0.0,1238,100,0,0,0.0,0.0
base,4018-103416-0033,3,clean,"[3, 1, 50]",1024,0.0,0.0,1239,150,0,0,0.0,0.0
base,4018-103416-0033,1,dropout-low,"[1, 1, 50]",1024,0.01,0.0,1237,50,1,0,0.02,0.0
base,4018-103416-0033,2,dropout-low,"[2, 1, 50]",1024,0.01,0.0,1238,100,0,0,0.0,0.0
base,4018-103416-0033,3,dropout-low,"[3, 1, 50]",1024,0.01,0.0,1239,150,2,0,0.013333333333333334,0.0
base,4018-103416-0033,1,substitution-low,"[1, 1, 50]",1024,0.0,0.001,1237,50,0,0,0.0,0.0
base,4018-103416-0033,2,substitution-low,"[2, 1, 50]",1024,0.0,0.001,1238,100,0,0,0.0,0.0
base,4018-103416-0033,3,substitution-low,"[3, 1, 50]",1024,0.0,0.001,1239,150,0,0,0.0,0.0
lca,4018-103416-0033,1,clean,"[1, 1, 50]",1024,0.0,0.0,1237,50,0,0,0.0,0.0
