model,sample_id,L,channel,p_drop,p_sub,ideal_bitrate_bps,duration_sec,wave_l1,rmse,mel_l1,si_snr_db,corr,stoi,pesq_wb,rms_ratio_db,recon_peak,clip_ratio,length_samples,actual_p_drop,actual_p_sub,channel_seed,original_path,recon_path
base,8838-298545-0037,1,clean,0.0,0.0,500,13.79,0.03287934884428978,0.05892985314130783,1.3445154428482056,-4.8458560943584255,0.4967808723449707,0.8069498716478557,1.3720451593399048,-4.101597396313743,0.3259144127368927,0.0,220640,0.0,0.0,57558,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\clean\L1\8838-298545-0037.wav
lca,8838-298545-0037,1,clean,0.0,0.0,500,13.79,0.033018942922353745,0.058815937489271164,1.284311294555664,-4.62925352779174,0.5061410665512085,0.8216196803884952,1.4067529439926147,-3.6598299227972486,0.34558093547821045,0.0,220640,0.0,0.0,57558,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\clean\L1\8838-298545-0037.wav
base,8838-298545-0037,1,dropout-low,0.01,0.0,500,13.79,0.03304778411984444,0.059202540665864944,1.3491570949554443,-4.969963265500623,0.49144455790519714,0.8033462518624023,1.3532027006149292,-4.076497235818944,0.3259144127368927,0.0,220640,0.011594202898550725,0.0,57167,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-low\L1\8838-298545-0037.wav
lca,8838-298545-0037,1,dropout-low,0.01,0.0,500,13.79,0.033467214554548264,0.05973350629210472,1.2899850606918335,-5.00968793703526,0.48974084854125977,0.8168871788347621,1.3970134258270264,-3.560276678897148,0.36019158363342285,0.0,220640,0.011594202898550725,0.0,57167,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-low\L1\8838-298545-0037.wav
base,8838-298545-0037,1,dropout-mid,0.03,0.0,500,13.79,0.033820390701293945,0.060879528522491455,1.3582721948623657,-5.76141339859972,0.4579518735408783,0.7985472353960585,1.3326977491378784,-3.9671820955775527,0.47527459263801575,0.0,220640,0.036231884057971016,0.0,57767,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-mid\L1\8838-298545-0037.wav
lca,8838-298545-0037,1,dropout-mid,0.03,0.0,500,13.79,0.03375618904829025,0.060520585626363754,1.3024442195892334,-5.420024335148805,0.47227680683135986,0.8138975864582885,1.3742132186889648,-3.6375194987422255,0.3722474277019501,0.0,220640,0.036231884057971016,0.0,57767,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-mid\L1\8838-298545-0037.wav
base,8838-298545-0037,1,substitution-low,0.0,0.001,500,13.79,0.032902058213949203,0.058924734592437744,1.34842050075531,-4.834801658354079,0.4972571134567261,0.8057274096991541,1.3436222076416016,-4.076448723634382,0.3259144127368927,0.0,220640,0.0,0.0014492753623188406,57970,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-low\L1\8838-298545-0037.wav
lca,8838-298545-0037,1,substitution-low,0.0,0.001,500,13.79,0.03307250887155533,0.05883987620472908,1.295106291770935,-4.641570230585459,0.5056073665618896,0.8194940310688107,1.3765864372253418,-3.6632061055036202,0.34558093547821045,0.0,220640,0.0,0.0014492753623188406,57970,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-low\L1\8838-298545-0037.wav
base,8838-298545-0037,1,substitution-mid,0.0,0.005,500,13.79,0.03290925920009613,0.058991894125938416,1.3596066236495972,-4.86910852701964,0.49577951431274414,0.8028962414668686,1.32987380027771,-4.08143842725301,0.3259144127368927,0.0,220640,0.0,0.008695652173913044,57077,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-mid\L1\8838-298545-0037.wav
lca,8838-298545-0037,1,substitution-mid,0.0,0.005,500,13.79,0.03307380899786949,0.05886374041438103,1.2996208667755127,-4.673261089181915,0.504234790802002,0.8184456971536112,1.3975294828414917,-3.715472389793767,0.3456822335720062,0.0,220640,0.0,0.008695652173913044,57077,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-mid\L1\8838-298545-0037.wav
