model,sample_id,L,channel,p_drop,p_sub,ideal_bitrate_bps,duration_sec,wave_l1,rmse,mel_l1,si_snr_db,corr,stoi,pesq_wb,rms_ratio_db,recon_peak,clip_ratio,length_samples,actual_p_drop,actual_p_sub,channel_seed,original_path,recon_path
base,8838-298545-0037,1,clean,0.0,0.0,500,13.79,0.03287934884428978,0.05892985314130783,1.3445154428482056,-4.8458560943584255,0.4967808723449707,0.8069498716478557,1.3720451593399048,-4.101597396313743,0.3259144127368927,0.0,220640,0.0,0.0,12773,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\clean\L1\8838-298545-0037.wav
lca,8838-298545-0037,1,clean,0.0,0.0,500,13.79,0.034156303852796555,0.06152662634849548,1.357269525527954,-5.809459940443373,0.4559520483016968,0.8164326782819972,1.371572732925415,-3.45853621975652,0.3632686734199524,0.0,220640,0.0,0.0,12773,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\clean\L1\8838-298545-0037.wav
base,8838-298545-0037,1,dropout-low,0.01,0.0,500,13.79,0.03319945186376572,0.05966731533408165,1.3597688674926758,-5.230186330055887,0.48032495379447937,0.7965406131731334,1.3133599758148193,-4.158462772905607,0.3259144127368927,0.0,220640,0.014492753623188406,0.0,12563,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-low\L1\8838-298545-0037.wav
lca,8838-298545-0037,1,dropout-low,0.01,0.0,500,13.79,0.03443256393074989,0.062134020030498505,1.3626713752746582,-6.154028938765338,0.4417346715927124,0.8108079484804139,1.3587331771850586,-3.528758490838118,0.37294405698776245,0.0,220640,0.014492753623188406,0.0,12563,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-low\L1\8838-298545-0037.wav
base,8838-298545-0037,1,dropout-mid,0.03,0.0,500,13.79,0.03370673954486847,0.06061443313956261,1.353912591934204,-5.6715177434400275,0.46170464158058167,0.7950427161980247,1.3284287452697754,-4.0648628444210235,0.3274037837982178,0.0,220640,0.02608695652173913,0.0,12294,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-mid\L1\8838-298545-0037.wav
lca,8838-298545-0037,1,dropout-mid,0.03,0.0,500,13.79,0.03464292362332344,0.0625053346157074,1.3738895654678345,-6.2518817633115065,0.4377387464046478,0.8074363111886511,1.3561415672302246,-3.3923381918686895,0.37362873554229736,0.0,220640,0.02608695652173913,0.0,12294,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-mid\L1\8838-298545-0037.wav
base,8838-298545-0037,1,substitution-low,0.0,0.001,500,13.79,0.03289385139942169,0.05898626893758774,1.3462867736816406,-4.8810377294529985,0.4952661097049713,0.8056613562700333,1.3622099161148071,-4.124324752903792,0.32976508140563965,0.0,220640,0.0,0.0014492753623188406,11992,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-low\L1\8838-298545-0037.wav
lca,8838-298545-0037,1,substitution-low,0.0,0.001,500,13.79,0.03421706706285477,0.06172041967511177,1.3582792282104492,-5.908672482971896,0.4518356919288635,0.8146274343962921,1.365241289138794,-3.465537763222028,0.39155876636505127,0.0,220640,0.0,0.0014492753623188406,11992,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-low\L1\8838-298545-0037.wav
base,8838-298545-0037,1,substitution-mid,0.0,0.005,500,13.79,0.03300144523382187,0.05905156955122948,1.348030924797058,-4.9065690865246205,0.49416786432266235,0.8054294089535271,1.3703501224517822,-4.105801080960724,0.3259144127368927,0.0,220640,0.0,0.005797101449275362,12123,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-mid\L1\8838-298545-0037.wav
lca,8838-298545-0037,1,substitution-mid,0.0,0.005,500,13.79,0.03425926715135574,0.06167963147163391,1.3643769025802612,-5.887083152090381,0.45272988080978394,0.8155591929205218,1.367162823677063,-3.463011706884923,0.3628934919834137,0.0,220640,0.0,0.005797101449275362,12123,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-mid\L1\8838-298545-0037.wav
