model,sample_id,L,channel,p_drop,p_sub,ideal_bitrate_bps,duration_sec,wave_l1,rmse,mel_l1,si_snr_db,corr,stoi,pesq_wb,rms_ratio_db,recon_peak,clip_ratio,length_samples,actual_p_drop,actual_p_sub,channel_seed,original_path,recon_path
base,8838-298545-0037,1,clean,0.0,0.0,500,13.79,0.03287934884428978,0.05892985314130783,1.3445154428482056,-4.8458560943584255,0.4967808723449707,0.8069498716478557,1.3720451593399048,-4.101597396313743,0.3259144127368927,0.0,220640,0.0,0.0,2342,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\clean\L1\8838-298545-0037.wav
lca,8838-298545-0037,1,clean,0.0,0.0,500,13.79,0.03259192034602165,0.05892600491642952,1.3393267393112183,-4.554198789066261,0.5093975067138672,0.8145398360996879,1.3913841247558594,-3.365706986539644,0.3181264102458954,0.0,220640,0.0,0.0,2342,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\clean\L1\8838-298545-0037.wav
base,8838-298545-0037,1,dropout-mid,0.05,0.0,500,13.79,0.03392070531845093,0.06136187165975571,1.3877818584442139,-6.061555550216972,0.44552820920944214,0.7845670467268988,1.2760019302368164,-4.067359396922158,0.3295893371105194,0.0,220640,0.06086956521739131,0.0,3119,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\dropout-mid\L1\8838-298545-0037.wav
lca,8838-298545-0037,1,dropout-mid,0.05,0.0,500,13.79,0.033567190170288086,0.060818664729595184,1.3785594701766968,-5.434666003112792,0.4716584384441376,0.7976255275415932,1.3093411922454834,-3.3976427683334363,0.3175053000450134,0.0,220640,0.06086956521739131,0.0,3119,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\dropout-mid\L1\8838-298545-0037.wav
base,8838-298545-0037,1,dropout-high,0.1,0.0,500,13.79,0.03458670154213905,0.062385670840740204,1.3880698680877686,-6.494673880294251,0.42790716886520386,0.7804527924455039,1.2648298740386963,-3.867083300405929,0.3411984443664551,0.0,220640,0.09420289855072464,0.0,2877,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\dropout-high\L1\8838-298545-0037.wav
lca,8838-298545-0037,1,dropout-high,0.1,0.0,500,13.79,0.03418780863285065,0.06205744668841362,1.3897154331207275,-6.086128502529535,0.4445185959339142,0.7964550124924442,1.340700626373291,-3.4820347454556053,0.3185918927192688,0.0,220640,0.09420289855072464,0.0,2877,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\dropout-high\L1\8838-298545-0037.wav
base,8838-298545-0037,1,substitution-mid,0.0,0.01,500,13.79,0.033061061054468155,0.059296026825904846,1.3681919574737549,-5.0610486575046405,0.4875413477420807,0.802620112022279,1.3517111539840698,-4.203899422357263,0.3259144127368927,0.0,220640,0.0,0.010144927536231883,2379,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\substitution-mid\L1\8838-298545-0037.wav
lca,8838-298545-0037,1,substitution-mid,0.0,0.01,500,13.79,0.03279732167720795,0.05928921326994896,1.3552216291427612,-4.752848370981425,0.5007930994033813,0.8092940140304675,1.3661673069000244,-3.445432200633634,0.3180363178253174,0.0,220640,0.0,0.010144927536231883,2379,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\substitution-mid\L1\8838-298545-0037.wav
base,8838-298545-0037,1,substitution-high,0.0,0.03,500,13.79,0.03331387788057327,0.05965413525700569,1.37569260597229,-5.252638031641512,0.4793701767921448,0.7814690494716258,1.3073781728744507,-4.236943370025986,0.3259144127368927,0.0,220640,0.0,0.02608695652173913,2651,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\substitution-high\L1\8838-298545-0037.wav
lca,8838-298545-0037,1,substitution-high,0.0,0.03,500,13.79,0.03304615989327431,0.05957535281777382,1.3760950565338135,-4.984457355444223,0.49082276225090027,0.7922874753988567,1.3248543739318848,-3.667268954464235,0.3185897767543793,0.0,220640,0.0,0.02608695652173913,2651,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\substitution-high\L1\8838-298545-0037.wav
