method,model,L,codec_setting,sample_id,duration_sec,length_samples,wave_l1,rmse,mel_l1,si_snr_db,corr,stoi,pesq_wb,decode_wall_ms,decoded_path,decoded_sha256,original_path
scit_base,scit_base,1,L=1,8838-298545-0037,13.79,220640,0.03287934884428978,0.05892985314130783,1.3445154428482056,-4.8458560943584255,0.4967808723449707,0.8069498716478557,1.3720451593399048,49.80731010437012,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_base\L1\8838-298545-0037.wav,f55f05606958adeda7385e66a0da34e7f7bfbfbc21d2d57a606d8daf06c17a32,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\original\8838-298545-0037.wav
scit_base,scit_base,2,L=2,8838-298545-0037,13.79,220640,0.02581062726676464,0.04730173572897911,1.0446746349334717,0.3647711187344309,0.7217933535575867,0.8612783993114691,1.78314208984375,15.007734298706055,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_base\L2\8838-298545-0037.wav,a8ade6eb06c2881797376ee047c753956587a6536f59f3b24879b993198f92ff,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\original\8838-298545-0037.wav
scit_base,scit_base,3,L=3,8838-298545-0037,13.79,220640,0.02371298149228096,0.04323802888393402,0.980736255645752,1.9021019947162123,0.7796003222465515,0.8798783397148405,1.8722504377365112,17.507076263427734,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_base\L3\8838-298545-0037.wav,ba3210a253de27c675ce2e9329a25f82279db6959e226cb708896f566447a634,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\original\8838-298545-0037.wav
scit_lca,scit_lca,1,L=1,8838-298545-0037,13.79,220640,0.03259192034602165,0.05892600491642952,1.3393267393112183,-4.554198789066261,0.5093975067138672,0.8145398360996879,1.3913841247558594,15.209674835205078,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_lca\L1\8838-298545-0037.wav,1ceb49ac74e46b3795d78d5542997e47ded3030d2a9f3ce3b61859bba41d089a,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\original\8838-298545-0037.wav
scit_lca,scit_lca,2,L=2,8838-298545-0037,13.79,220640,0.02566635049879551,0.04753148928284645,1.0424621105194092,0.11918953403625206,0.7119414806365967,0.8689891538334951,1.8108528852462769,16.583919525146484,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_lca\L2\8838-298545-0037.wav,ffec23c4683e08c9e4cca436eb59e29443c65eb220bb69e0e3d46329c6dea7ac,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\original\8838-298545-0037.wav
scit_lca,scit_lca,3,L=3,8838-298545-0037,13.79,220640,0.022771961987018585,0.041984837502241135,0.9687113165855408,2.062889942069927,0.7852172255516052,0.889761256742852,1.9726229906082153,15.510320663452148,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\scit_lca\L3\8838-298545-0037.wav,b70790826b5157968c41d3b8023590c25e9e707ae507db0983bd179702ee3235,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\original\8838-298545-0037.wav
pcm,pcm_16bit_16khz,,16bit_16khz_passthrough,8838-298545-0037,13.79,220640,1.1139042044305825e-06,2.0506311102508334e-06,6.0746515373466536e-05,109.9827236269733,1.0,0.9999999999999966,4.643888473510742,0.0,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\pcm\8838-298545-0037.wav,7c43d4d7ab1ec860d014d308453e4328e75eedac5b4a4222b9e2ccb6a7232d8e,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\original\8838-298545-0037.wav
encodec,encodec_24khz,2,bw1.5kbps_n_cb2,8838-298545-0037,13.79,220640,0.02300124429166317,0.04211253672838211,1.4501560926437378,2.4366815270834223,0.797934353351593,0.855731474795662,1.8263375759124756,139.5275592803955,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\encodec\bw1.5kbps\8838-298545-0037.wav,86cce22161e15dbb6780884a650ecf77048cc98bbb923160088fac1d128bafff,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\original\8838-298545-0037.wav
encodec,encodec_24khz,4,bw3.0kbps_n_cb4,8838-298545-0037,13.79,220640,0.017709199339151382,0.03179668262600899,1.2832988500595093,5.656865206147855,0.8867143392562866,0.9088963865973213,2.4392194747924805,100.28553009033203,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\encodec\bw3.0kbps\8838-298545-0037.wav,7c2d211ca2264e411d231a4747aab9130659acf8ad7dac8d920079fdc578e8a4,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\original\8838-298545-0037.wav
encodec,encodec_24khz,8,bw6.0kbps_n_cb8,8838-298545-0037,13.79,220640,0.012395408004522324,0.021683823317289352,1.1828099489212036,9.4254321187746,0.9473908543586731,0.9499847886393353,3.12695050239563,78.44018936157227,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\encodec\bw6.0kbps\8838-298545-0037.wav,752917b5378f620ece27fbc89d67f42bbc2863cc79e903d643de7d0b4d7a27c1,output\experiments\exp4_baseline_comparison_20260531_seed42\samples\original\8838-298545-0037.wav
