method,model,L,codec_setting,sample_id,duration_sec,ideal_bitrate_bps,packed_payload_bytes,packed_payload_bps,packetized_payload_bytes,packetized_payload_bps,overhead_ratio_vs_ideal,bits_per_code,num_indices
scit_base,scit_base,1,L=1,8838-298545-0037,13.79,500,863,500.6526468455403,879,509.934735315446,0.01986947063089201,10,690
scit_base,scit_base,2,L=2,8838-298545-0037,13.79,1000,1725,1000.7251631617114,1741,1010.0072516316171,0.010007251631617123,10,1380
scit_base,scit_base,3,L=3,8838-298545-0037,13.79,1500,2588,1501.3778100072518,2604,1510.6598984771574,0.0071065989847716084,10,2070
scit_lca,scit_lca,1,L=1,8838-298545-0037,13.79,500,863,500.6526468455403,879,509.934735315446,0.01986947063089201,10,690
scit_lca,scit_lca,2,L=2,8838-298545-0037,13.79,1000,1725,1000.7251631617114,1741,1010.0072516316171,0.010007251631617123,10,1380
scit_lca,scit_lca,3,L=3,8838-298545-0037,13.79,1500,2588,1501.3778100072518,2604,1510.6598984771574,0.0071065989847716084,10,2070
pcm,pcm_16bit_16khz,,16bit_16khz_passthrough,8838-298545-0037,13.79,256000,441280,256000,441280,256000,0.0,,
encodec,encodec_24khz,2,bw1.5kbps_n_cb2,8838-298545-0037,13.79,1500.0,2588,1501.3778100072518,2604,1510.6598984771574,0.0071065989847716084,10,2070
encodec,encodec_24khz,4,bw3.0kbps_n_cb4,8838-298545-0037,13.79,3000.0,5175,3002.175489485134,5191,3011.45757795504,0.003819192651680017,10,4140
encodec,encodec_24khz,8,bw6.0kbps_n_cb8,8838-298545-0037,13.79,6000.0,10350,6004.350978970268,10366,6013.633067440174,0.0022721779066957122,10,8280
encodec,encodec_24khz,16,bw12.0kbps_n_cb16,8838-298545-0037,13.79,12000.0,20700,12008.701957940537,20716,12017.984046410444,0.0014986705342036354,10,16560
dac,dac_16khz,1,n_q_1,8838-298545-0037,13.79,500.6526468455403,863,500.6526468455403,879,509.934735315446,0.01853997682502894,10,690
dac,dac_16khz,2,n_q_2,8838-298545-0037,13.79,1000.7251631617114,1725,1000.7251631617114,1741,1010.0072516316171,0.009275362318840567,10,1380
dac,dac_16khz,3,n_q_3,8838-298545-0037,13.79,1501.3778100072518,2588,1501.3778100072518,2604,1510.6598984771574,0.0061823802163832224,10,2070
dac,dac_16khz,4,n_q_4,8838-298545-0037,13.79,2001.4503263234228,3450,2001.4503263234228,3466,2010.7324147933286,0.00463768115942034,10,2760
dac,dac_16khz,6,n_q_6,8838-298545-0037,13.79,3002.175489485134,5175,3002.175489485134,5191,3011.45757795504,0.0030917874396135603,10,4140
dac,dac_16khz,9,n_q_9,8838-298545-0037,13.79,4503.553299492386,7763,4503.553299492386,7779,4512.835387962292,0.002061058868993968,10,6210
dac,dac_16khz,12,n_q_12,8838-298545-0037,13.79,6004.350978970268,10350,6004.350978970268,10366,6013.633067440174,0.0015458937198067802,10,8280
scit_base,scit_base,1,L=1,5390-30102-0015,15.26,500,954,500.13106159895153,970,508.519003931848,0.017038007863695952,10,763
scit_base,scit_base,2,L=2,5390-30102-0015,15.26,1000,1908,1000.2621231979031,1924,1008.6500655307995,0.008650065530799451,10,1526
scit_base,scit_base,3,L=3,5390-30102-0015,15.26,1500,2862,1500.3931847968545,2878,1508.781127129751,0.0058540847531673235,10,2289
scit_lca,scit_lca,1,L=1,5390-30102-0015,15.26,500,954,500.13106159895153,970,508.519003931848,0.017038007863695952,10,763
scit_lca,scit_lca,2,L=2,5390-30102-0015,15.26,1000,1908,1000.2621231979031,1924,1008.6500655307995,0.008650065530799451,10,1526
scit_lca,scit_lca,3,L=3,5390-30102-0015,15.26,1500,2862,1500.3931847968545,2878,1508.781127129751,0.0058540847531673235,10,2289
pcm,pcm_16bit_16khz,,16bit_16khz_passthrough,5390-30102-0015,15.26,256000,488320,256000,488320,256000,0.0,,
encodec,encodec_24khz,2,bw1.5kbps_n_cb2,5390-30102-0015,15.26,1500.0,2863,1500.9174311926606,2879,1509.3053735255571,0.006203582350371411,10,2290
encodec,encodec_24khz,4,bw3.0kbps_n_cb4,5390-30102-0015,15.26,3000.0,5725,3001.310615989515,5741,3009.6985583224114,0.0032328527741371242,10,4580
encodec,encodec_24khz,8,bw6.0kbps_n_cb8,5390-30102-0015,15.26,6000.0,11450,6002.62123197903,11466,6011.0091743119265,0.0018348623853210787,10,9160
encodec,encodec_24khz,16,bw12.0kbps_n_cb16,5390-30102-0015,15.26,12000.0,22900,12005.24246395806,22916,12013.630406290957,0.001135867190913056,10,18320
dac,dac_16khz,1,n_q_1,5390-30102-0015,15.2595,500.13106159895153,954,500.13106159895153,970,508.519003931848,0.01677148846960164,10,763
dac,dac_16khz,2,n_q_2,5390-30102-0015,15.2595,1000.2621231979031,1908,1000.2621231979031,1924,1008.6500655307995,0.008385744234800763,10,1526
dac,dac_16khz,3,n_q_3,5390-30102-0015,15.2595,1500.3931847968545,2862,1500.3931847968545,2878,1508.781127129751,0.005590496156533918,10,2289
dac,dac_16khz,4,n_q_4,5390-30102-0015,15.2595,2000.0,3815,2000.0,3831,2008.3879423328965,0.0041939711664482505,10,3052
dac,dac_16khz,6,n_q_6,5390-30102-0015,15.2595,3000.262123197903,5723,3000.262123197903,5739,3008.6500655307996,0.0027957365018347912,10,4578
dac,dac_16khz,9,n_q_9,5390-30102-0015,15.2595,4500.131061598951,8584,4500.131061598951,8600,4508.519003931848,0.0018639328984156151,10,6867
dac,dac_16khz,12,n_q_12,5390-30102-0015,15.2595,6000.0,11445,6000.0,11461,6008.387942332896,0.0013979903888160455,10,9156
scit_base,scit_base,1,L=1,4018-103416-0033,15.13,500,947,500.7270323859881,963,509.18704560475874,0.018374091209517475,10,757
scit_base,scit_base,2,L=2,4018-103416-0033,15.13,1000,1893,1000.9253139458029,1909,1009.3853271645736,0.009385327164573597,10,1514
