model,sample_id,L,channel,p_drop,p_sub,ideal_bitrate_bps,duration_sec,wave_l1,rmse,mel_l1,si_snr_db,corr,stoi,pesq_wb,rms_ratio_db,recon_peak,clip_ratio,length_samples,actual_p_drop,actual_p_sub,channel_seed,original_path,recon_path
base,8838-298545-0037,1,clean,0.0,0.0,500,13.79,0.03287934884428978,0.05892985314130783,1.3445154428482056,-4.8458560943584255,0.4967808723449707,0.8069498716478557,1.3720451593399048,-4.101597396313743,0.3259144127368927,0.0,220640,0.0,0.0,22120,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L1\8838-298545-0037.wav
lca,8838-298545-0037,1,clean,0.0,0.0,500,13.79,0.031310468912124634,0.057623784989118576,1.3324193954467773,-3.660527835407606,0.5485719442367554,0.7665583272602426,1.355033040046692,-2.6202803209090058,0.33150342106819153,0.0,220640,0.0,0.0,22120,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L1\8838-298545-0037.wav
base,8838-298545-0037,2,clean,0.0,0.0,1000,13.79,0.025809811428189278,0.04730052128434181,1.0462017059326172,0.36484711569691824,0.7217962145805359,0.861271005276845,1.7829540967941284,-1.4044968377962506,0.4803844690322876,0.0,220640,0.0,0.0,23120,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L2\8838-298545-0037.wav
lca,8838-298545-0037,2,clean,0.0,0.0,1000,13.79,0.02479887194931507,0.04556655511260033,1.1768862009048462,0.9686275650609889,0.745337963104248,0.8387881498926264,1.7152900695800781,-1.2132347726676593,0.41024264693260193,0.0,220640,0.0,0.0,23120,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L2\8838-298545-0037.wav
base,8838-298545-0037,3,clean,0.0,0.0,1500,13.79,0.023706944659352303,0.043239694088697433,0.9816579818725586,1.8969347528380718,0.7794182896614075,0.8798481667597896,1.872251033782959,-0.6619138911764626,0.45209625363349915,0.0,220640,0.0,0.0,24120,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L3\8838-298545-0037.wav
lca,8838-298545-0037,3,clean,0.0,0.0,1500,13.79,0.021830517798662186,0.03994126245379448,1.1242525577545166,2.851408886921858,0.8114724159240723,0.8686481165221127,1.921010971069336,-0.7211129384056227,0.4346572160720825,0.0,220640,0.0,0.0,24120,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\8838-298545-0037.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L3\8838-298545-0037.wav
base,5390-30102-0015,1,clean,0.0,0.0,500,15.26,0.03107987903058529,0.04837138205766678,1.3381139039993286,-3.892163225594187,0.5383598208427429,0.7740162147118261,1.2074334621429443,-3.613279533835172,0.32823967933654785,0.0,244160,0.0,0.0,20089,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L1\5390-30102-0015.wav
lca,5390-30102-0015,1,clean,0.0,0.0,500,15.26,0.028595108538866043,0.045948877930641174,1.2695144414901733,-2.5546158307046967,0.5975306630134583,0.7539368253996087,1.22026789188385,-3.061907170616533,0.3575141727924347,0.0,244160,0.0,0.0,20089,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L1\5390-30102-0015.wav
base,5390-30102-0015,2,clean,0.0,0.0,1000,15.26,0.025145763531327248,0.039008308202028275,1.0375239849090576,0.8339688533228512,0.7401756644248962,0.8267250979392888,1.426063060760498,-1.1201288961071705,0.4454289972782135,0.0,244160,0.0,0.0,21089,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\base\clean\L2\5390-30102-0015.wav
lca,5390-30102-0015,2,clean,0.0,0.0,1000,15.26,0.023249147459864616,0.03709996119141579,1.1122264862060547,1.439967274481278,0.7629810571670532,0.8256613865439596,1.4592022895812988,-1.3582525480493262,0.4138636291027069,0.0,244160,0.0,0.0,21089,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp5_ablation_and_diagnosis_20260601_seed42\samples\lca\clean\L2\5390-30102-0015.wav
