sample_id,L,ideal_bitrate_bps,recon_l1,codes_shape,output_shape,duration_sec,note
8838-298545-0037,1,500,0.04390322417020798,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
8838-298545-0037,2,1000,0.03283482417464256,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
8838-298545-0037,3,1500,0.028159264475107193,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
5390-30102-0015,1,500,0.022253811359405518,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
5390-30102-0015,2,1000,0.018275070935487747,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
5390-30102-0015,3,1500,0.016943421214818954,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4018-103416-0033,1,500,0.029045380651950836,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4018-103416-0033,2,1000,0.021412480622529984,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4018-103416-0033,3,1500,0.01867515966296196,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1737-148989-0006,1,500,0.025050675496459007,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1737-148989-0006,2,1000,0.022810155525803566,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1737-148989-0006,3,1500,0.02229374833405018,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1455-138263-0040,1,500,0.009025752544403076,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1455-138263-0040,2,1000,0.008294707164168358,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
1455-138263-0040,3,1500,0.008078807033598423,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
311-124404-0119,1,500,0.02681897021830082,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
311-124404-0119,2,1000,0.022419048473238945,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
311-124404-0119,3,1500,0.02101973444223404,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4680-16026-0019,1,500,0.03963498771190643,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4680-16026-0019,2,1000,0.03153863921761513,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
4680-16026-0019,3,1500,0.02682744525372982,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
8098-278278-0035,1,500,0.02401038073003292,"[1, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
8098-278278-0035,2,1000,0.021058758720755577,"[2, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
8098-278278-0035,3,1500,0.01940028741955757,"[3, 1, 50]","[1, 1, 16000]",1.0,"sanity/proxy reconstruction, not final communication quality"
