variant,tag,step,value
V0,dev/mel error,2500,1.1235004663467407
V0,dev/mel error,5000,1.0974501371383667
V0,dev/mel error,7500,1.1411094665527344
V0,dev/mel error,10000,1.1892269849777222
V0,dev/mel error,12500,1.2234184741973877
V0,dev/mel error,15000,1.2410610914230347
V0,dev/mel error,17500,1.198179006576538
V0,dev/mel error,20000,1.203835129737854
V0,dev/mel error,22500,1.1913461685180664
V0,dev/mel error,25000,1.1985586881637573
V0,dev/mel error,27500,1.1817471981048584
V0,dev/mel error,30000,1.2172077894210815
V0,dev/mel error,32500,1.1729727983474731
V0,dev/full_depth_mel_error,2500,1.1235004663467407
V0,dev/full_depth_mel_error,5000,1.0974501371383667
V0,dev/full_depth_mel_error,7500,1.1411094665527344
V0,dev/full_depth_mel_error,10000,1.1892269849777222
V0,dev/full_depth_mel_error,12500,1.2234184741973877
V0,dev/full_depth_mel_error,15000,1.2410610914230347
V0,dev/full_depth_mel_error,17500,1.198179006576538
V0,dev/full_depth_mel_error,20000,1.203835129737854
V0,dev/full_depth_mel_error,22500,1.1913461685180664
V0,dev/full_depth_mel_error,25000,1.1985586881637573
V0,dev/full_depth_mel_error,27500,1.1817471981048584
V0,dev/full_depth_mel_error,30000,1.2172077894210815
V0,dev/full_depth_mel_error,32500,1.1729727983474731
V0,dev/distillation loss,2500,0.596278727054596
V0,dev/distillation loss,5000,0.5961270332336426
V0,dev/distillation loss,7500,0.5961035490036011
V0,dev/distillation loss,10000,0.5961160659790039
V0,dev/distillation loss,12500,0.5960813760757446
V0,dev/distillation loss,15000,0.5961067080497742
V0,dev/distillation loss,17500,0.596017599105835
V0,dev/distillation loss,20000,0.5960037112236023
V0,dev/distillation loss,22500,0.5959917902946472
V0,dev/distillation loss,25000,0.5960001945495605
V0,dev/distillation loss,27500,0.5960237383842468
V0,dev/distillation loss,30000,0.5960067510604858
V0,dev/distillation loss,32500,0.5960566997528076
V0,dev/quantizer_loss,2500,0.0
V0,dev/quantizer_loss,5000,0.0
V0,dev/quantizer_loss,7500,0.0
V0,dev/quantizer_loss,10000,0.0
V0,dev/quantizer_loss,12500,0.0
V0,dev/quantizer_loss,15000,0.0
V0,dev/quantizer_loss,17500,0.0
V0,dev/quantizer_loss,20000,0.0
V0,dev/quantizer_loss,22500,0.0
V0,dev/quantizer_loss,25000,0.0
V0,dev/quantizer_loss,27500,0.0
V0,dev/quantizer_loss,30000,0.0
V0,dev/quantizer_loss,32500,0.0
V0,dev/comm_mel/L3_clean,2500,0.4649012088775635
V0,dev/comm_mel/L3_clean,5000,0.4198745787143707
V0,dev/comm_mel/L3_clean,7500,0.44327816367149353
V0,dev/comm_mel/L3_clean,10000,0.41300058364868164
V0,dev/comm_mel/L3_clean,12500,0.45842480659484863
V0,dev/comm_mel/L3_clean,15000,0.40506821870803833
V0,dev/comm_mel/L3_clean,17500,0.38841184973716736
V0,dev/comm_mel/L3_clean,20000,0.4293057322502136
V0,dev/comm_mel/L3_clean,22500,0.3925641179084778
V0,dev/comm_mel/L3_clean,25000,0.4060867428779602
V0,dev/comm_mel/L3_clean,27500,0.40210118889808655
V0,dev/comm_mel/L3_clean,30000,0.3665161430835724
V0,dev/comm_mel/L3_clean,32500,0.4073841869831085
V0,dev/comm_recon/L3_clean,2500,0.009445260278880596
V0,dev/comm_recon/L3_clean,5000,0.009432545863091946
V0,dev/comm_recon/L3_clean,7500,0.009480144828557968
V0,dev/comm_recon/L3_clean,10000,0.009400016628205776
V0,dev/comm_recon/L3_clean,12500,0.009543810971081257
V0,dev/comm_recon/L3_clean,15000,0.009468013420701027
V0,dev/comm_recon/L3_clean,17500,0.009455307386815548
V0,dev/comm_recon/L3_clean,20000,0.009480039589107037
V0,dev/comm_recon/L3_clean,22500,0.009441398084163666
V0,dev/comm_recon/L3_clean,25000,0.009481029585003853
V0,dev/comm_recon/L3_clean,27500,0.009540433064103127
V0,dev/comm_recon/L3_clean,30000,0.0094522163271904
V0,dev/comm_recon/L3_clean,32500,0.009513795375823975
V0,train/loss_consistency,0,0.0
V0,train/loss_consistency,100,0.0
V0,train/loss_consistency,200,0.0
V0,train/loss_consistency,300,0.0
V0,train/loss_consistency,400,0.0
V0,train/loss_consistency,500,0.0
V0,train/loss_consistency,600,0.0
V0,train/loss_consistency,700,0.0
V0,train/loss_consistency,800,0.0
V0,train/loss_consistency,900,0.0
V0,train/loss_consistency,1000,0.0
V0,train/loss_consistency,1100,0.0
V0,train/loss_consistency,1200,0.0
V0,train/loss_consistency,1300,0.0
V0,train/loss_consistency,1400,0.0
V0,train/loss_consistency,1500,0.0
V0,train/loss_consistency,1600,0.0
V0,train/loss_consistency,1700,0.0
V0,train/loss_consistency,1800,0.0
V0,train/loss_consistency,1900,0.0
V0,train/loss_consistency,2000,0.0
V0,train/loss_consistency,2100,0.0
V0,train/loss_consistency,2200,0.0
V0,train/loss_consistency,2300,0.0
V0,train/loss_consistency,2400,0.0
V0,train/loss_consistency,2500,0.0
V0,train/loss_consistency,2600,0.0
V0,train/loss_consistency,2700,0.0
V0,train/loss_consistency,2800,0.0
V0,train/loss_consistency,2900,0.0
V0,train/loss_consistency,3000,0.0
V0,train/loss_consistency,3100,0.0
V0,train/loss_consistency,3200,0.0
V0,train/loss_consistency,3300,0.0
V0,train/loss_consistency,3400,0.0
V0,train/loss_consistency,3500,0.0
V0,train/loss_consistency,3600,0.0
V0,train/loss_consistency,3700,0.0
V0,train/loss_consistency,3800,0.0
V0,train/loss_consistency,3900,0.0
V0,train/loss_consistency,4000,0.0
V0,train/loss_consistency,4100,0.0
V0,train/loss_consistency,4200,0.0
V0,train/loss_consistency,4300,0.0
V0,train/loss_consistency,4400,0.0
V0,train/loss_consistency,4500,0.0
V0,train/loss_consistency,4600,0.0
V0,train/loss_consistency,4700,0.0
V0,train/loss_consistency,4800,0.0
V0,train/loss_consistency,4900,0.0
V0,train/loss_consistency,5000,0.0
V0,train/loss_consistency,5100,0.0
V0,train/loss_consistency,5200,0.0
V0,train/loss_consistency,5300,0.0
V0,train/loss_consistency,5400,0.0
V0,train/loss_consistency,5500,0.0
V0,train/loss_consistency,5600,0.0
V0,train/loss_consistency,5700,0.0
V0,train/loss_consistency,5800,0.0
V0,train/loss_consistency,5900,0.0
V0,train/loss_consistency,6000,0.0
V0,train/loss_consistency,6100,0.0
V0,train/loss_consistency,6200,0.0
V0,train/loss_consistency,6300,0.0
V0,train/loss_consistency,6400,0.0
V0,train/loss_consistency,6500,0.0
V0,train/loss_consistency,6600,0.0
V0,train/loss_consistency,6700,0.0
V0,train/loss_consistency,6800,0.0
V0,train/loss_consistency,6900,0.0
V0,train/loss_consistency,7000,0.0
V0,train/loss_consistency,7100,0.0
V0,train/loss_consistency,7200,0.0
V0,train/loss_consistency,7300,0.0
V0,train/loss_consistency,7400,0.0
V0,train/loss_consistency,7500,0.0
V0,train/loss_consistency,7600,0.0
V0,train/loss_consistency,7700,0.0
V0,train/loss_consistency,7800,0.0
V0,train/loss_consistency,7900,0.0
V0,train/loss_consistency,8000,0.0
V0,train/loss_consistency,8100,0.0
V0,train/loss_consistency,8200,0.0
