stack,header_bytes,interval_ms,L,total_indices,ideal_bits,packed_payload_bytes,packetized_payload_bytes,packetized_payload_bps,overhead_ratio,overhead_pct
RTP-only,12,100,1,5,50,7,19,1520.0,2.04,204.0
RTP-only,12,100,2,10,100,13,25,2000.0,1.0,100.0
RTP-only,12,100,3,15,150,19,31,2480.0,0.653333,65.33
RTP-only,12,20,1,1,10,2,14,5600.0,10.2,1020.0
RTP-only,12,20,2,2,20,3,15,6000.0,5.0,500.0
RTP-only,12,20,3,3,30,4,16,6400.0,3.266667,326.67
UDP+IPv4+RTP,40,100,1,5,50,7,47,3760.0,6.52,652.0
UDP+IPv4+RTP,40,100,2,10,100,13,53,4240.0,3.24,324.0
UDP+IPv4+RTP,40,100,3,15,150,19,59,4720.0,2.146667,214.67
UDP+IPv4+RTP,40,20,1,1,10,2,42,16800.0,32.6,3260.0
UDP+IPv4+RTP,40,20,2,2,20,3,43,17200.0,16.2,1620.0
UDP+IPv4+RTP,40,20,3,3,30,4,44,17600.0,10.733333,1073.33
UDP+IPv6+RTP,60,100,1,5,50,7,67,5360.0,9.72,972.0
UDP+IPv6+RTP,60,100,2,10,100,13,73,5840.0,4.84,484.0
UDP+IPv6+RTP,60,100,3,15,150,19,79,6320.0,3.213333,321.33
UDP+IPv6+RTP,60,20,1,1,10,2,62,24800.0,48.6,4860.0
UDP+IPv6+RTP,60,20,2,2,20,3,63,25200.0,24.2,2420.0
UDP+IPv6+RTP,60,20,3,3,30,4,64,25600.0,16.066667,1606.67
